Lg,Year,Division
Mid-Eastern Athletic Conference,2014,1
Mid-Eastern Athletic Conference,2015,1
Mid-Eastern Athletic Conference,2016,1
Mid-Eastern Athletic Conference,2017,1
Mid-Eastern Athletic Conference,2018,1
Mid-Eastern Athletic Conference,2019,1
Missouri Valley Conference,2013,1
Missouri Valley Conference,2014,1
Missouri Valley Conference,2015,1
Missouri Valley Conference,2016,1
Missouri Valley Conference,2017,1
Missouri Valley Conference,2018,1
Missouri Valley Conference,2019,1
Mountain East Conference,2014,2
Mountain East Conference,2015,2
Mountain East Conference,2016,2
Mountain East Conference,2017,2
Mountain East Conference,2018,2
Mountain East Conference,2019,2
Mountain West Conference,2013,1
Mountain West Conference,2014,1
Mountain West Conference,2015,1
Mountain West Conference,2016,1
Mountain West Conference,2017,1
Mountain West Conference,2018,1
Mountain West Conference,2019,1
NCAA Division I Independents,2014,1
NCAA Division I Independents,2015,1
NCAA Division I Independents,2016,1
NCAA Division I Independents,2017,1
NCAA Division II Independents,2013,2
NCAA Division II Independents,2014,2
NCAA Division II Independents,2015,2
NCAA Division II Independents,2017,2
NCAA Division II Independents,2018,2
NCAA Division II Independents,2019,2
Northeast 10 Conference,2013,2
Northeast 10 Conference,2014,2
Northeast 10 Conference,2015,2
Northeast 10 Conference,2016,2
Northeast 10 Conference,2017,2
Northeast 10 Conference,2018,2
Northeast 10 Conference,2019,2
Northeast Conference,2013,1
Northeast Conference,2014,1
Northeast Conference,2015,1
Northeast Conference,2016,1
Northeast Conference,2017,1
Northeast Conference,2018,1
Northeast Conference,2019,1
Northern Sun Conference,2013,2
Northern Sun Conference,2014,2
Northern Sun Conference,2015,2
Northern Sun Conference,2016,2
Northern Sun Conference,2017,2
Northern Sun Conference,2018,2
Northern Sun Conference,2019,2
Ohio Valley Conference,2013,2
Ohio Valley Conference,2014,2
Ohio Valley Conference,2015,2
Ohio Valley Conference,2016,2
Ohio Valley Conference,2017,2
Ohio Valley Conference,2018,2
Ohio Valley Conference,2019,2
Pacific 12 Conference,2013,1
Pacific 12 Conference,2014,1
Pacific 12 Conference,2015,1
Pacific 12 Conference,2016,1
Pacific 12 Conference,2017,1
Pacific 12 Conference,2018,1
Pacific 12 Conference,2019,1
Pacific West Conference,2013,2
Pacific West Conference,2014,2
Pacific West Conference,2015,2
Pacific West Conference,2016,2
Pacific West Conference,2017,2
Pacific West Conference,2018,2
Pacific West Conference,2019,2
Patriot League,2013,1
Patriot League,2014,1
Patriot League,2015,1
Patriot League,2016,1
Patriot League,2017,1
Patriot League,2018,1
Patriot League,2019,1
Peach Belt Conference,2013,2
Peach Belt Conference,2014,2
Peach Belt Conference,2015,2
Peach Belt Conference,2016,2
Peach Belt Conference,2017,2
Peach Belt Conference,2018,2
Peach Belt Conference,2019,2
Pennsylvania State Athletics Conference,2013,2
Pennsylvania State Athletics Conference,2014,2
Pennsylvania State Athletics Conference,2015,2
Pennsylvania State Athletics Conference,2016,2
Pennsylvania State Athletics Conference,2017,2
Pennsylvania State Athletics Conference,2018,2
Pennsylvania State Athletics Conference,2019,2
Rocky Mountain Athletic Conference,2013,2
Rocky Mountain Athletic Conference,2014,2
Rocky Mountain Athletic Conference,2015,2
Rocky Mountain Athletic Conference,2016,2
Rocky Mountain Athletic Conference,2017,2
Rocky Mountain Athletic Conference,2018,2
Rocky Mountain Athletic Conference,2019,2
South Atlantic Conference,2013,2
South Atlantic Conference,2014,2
South Atlantic Conference,2015,2
South Atlantic Conference,2016,2
South Atlantic Conference,2017,2
South Atlantic Conference,2018,2
South Atlantic Conference,2019,2
Southeastern Conference,2013,1
Southeastern Conference,2014,1
Southeastern Conference,2015,1
Southeastern Conference,2016,1
Southeastern Conference,2017,1
Southeastern Conference,2018,1
Southeastern Conference,2019,1
Southern Conference,2013,1
Southern Conference,2014,1
Southern Conference,2015,1
Southern Conference,2016,1
Southern Conference,2017,1
Southern Conference,2018,1
Southern Conference,2019,1
Southern Intercollegiate Athletic Conference,2013,2
Southern Intercollegiate Athletic Conference,2014,2
Southern Intercollegiate Athletic Conference,2015,2
Southern Intercollegiate Athletic Conference,2016,2
Southern Intercollegiate Athletic Conference,2017,2
Southern Intercollegiate Athletic Conference,2018,2
Southern Intercollegiate Athletic Conference,2019,2
Southland Conference,2013,1
Southland Conference,2014,1
Southland Conference,2015,1
Southland Conference,2016,1
Southland Conference,2017,1
Southland Conference,2018,1
Southland Conference,2019,1
Southwestern Athletic Conference,2013,1
Southwestern Athletic Conference,2014,1
Southwestern Athletic Conference,2015,1
Southwestern Athletic Conference,2016,1
Southwestern Athletic Conference,2017,1
Southwestern Athletic Conference,2018,1
Southwestern Athletic Conference,2019,1
Summit League,2013,1
Summit League,2014,1
Summit League,2015,1
Summit League,2016,1
Summit League,2017,1
Summit League,2018,1
Summit League,2019,1
Sun Belt Conference,2013,1
Sun Belt Conference,2014,1
Sun Belt Conference,2015,1
Sun Belt Conference,2016,1
Sun Belt Conference,2017,1
Sun Belt Conference,2018,1
Sun Belt Conference,2019,1
Sunshine State Conference,2013,2
Sunshine State Conference,2014,2
Sunshine State Conference,2015,2
Sunshine State Conference,2016,2
Sunshine State Conference,2017,2
Sunshine State Conference,2018,2
Sunshine State Conference,2019,2
West Coast Conference,2013,1
West Coast Conference,2014,1
West Coast Conference,2015,1
West Coast Conference,2016,1
West Coast Conference,2017,1
West Coast Conference,2018,1
West Coast Conference,2019,1
West Virginia Intercollegiate Athletic Conference,2013,2
Western Athletic Conference,2013,1
Western Athletic Conference,2014,1
Western Athletic Conference,2015,1
Western Athletic Conference,2016,1
Western Athletic Conference,2017,1
Western Athletic Conference,2018,1
Western Athletic Conference,2019,1
