px,pz,batter,pitchcall,pitch,ev,la,dist
0.14161,2.20152,Example LHB,StrikeCalled,Curveball,NA,NA,NA
-0.42082,1.47063,Example RHB,StrikeSwinging,ChangeUp,NA,NA,NA
-0.10575,1.28035,Example RHB,FoulBall,Fastball,NA,NA,NA
-0.7131,1.76036,Example RHB,StrikeCalled,Fastball,NA,NA,NA
-0.49497,2.72961,Example LHB,FoulBall,Fastball,NA,NA,NA
-2.38464,0.934,Example RHB,BallCalled,Slider,NA,NA,NA
-0.40283,1.55735,Example LHB,BallCalled,Slider,NA,NA,NA
-1.72566,3.65917,Example RHB,BallCalled,Fastball,NA,NA,NA
2.17885,-0.89034,Example LHB,BallinDirt,Curveball,NA,NA,NA
-0.13791,3.80586,Example LHB,BallCalled,Fastball,NA,NA,NA
1.64692,2.87592,Example LHB,BallCalled,Fastball,NA,NA,NA
-0.02728,3.40978,Example RHB,FoulBall,Fastball,66.93342,53.113312,170.10099
0.35169,2.13385,Example RHB,InPlay,Fastball,77.15153,41.538255,260.27128
0.15698,2.84341,Example RHB,FoulBall,ChangeUp,NA,NA,NA
-2.61613,2.07555,Example RHB,BallCalled,Fastball,NA,NA,NA
-0.32999,1.86073,Example LHB,StrikeCalled,Fastball,NA,NA,NA
-0.43183,2.33194,Example LHB,FoulBall,Fastball,NA,NA,NA
1.48263,2.22515,Example LHB,BallCalled,Fastball,NA,NA,NA
-1.29512,2.64687,Example LHB,BallCalled,Fastball,NA,NA,NA
1.37264,0.83033,Example LHB,BallCalled,Fastball,NA,NA,NA
1.75047,2.7849,Example LHB,BallCalled,Slider,NA,NA,NA
-1.12336,1.65209,Example RHB,FoulBall,Fastball,75.50414,12.98439,121.80014
-1.45219,3.41267,Example RHB,StrikeSwinging,Fastball,NA,NA,NA
-0.9147,1.41553,Example LHB,StrikeCalled,ChangeUp,NA,NA,NA
0.7957,1.88747,Example RHB,StrikeCalled,Fastball,NA,NA,NA
0.64909,0.36572,Example LHB,BallCalled,Slider,NA,NA,NA
0.99303,2.40244,Example LHB,StrikeSwinging,Fastball,NA,NA,NA
0.17582,1.7637100000000001,Example RHB,FoulBall,Fastball,69.29163,13.820838,123.11176
0.38938,2.52435,Example LHB,InPlay,Fastball,85.46353,-20.272603,7.67673
0.91877,2.13569,Example RHB,StrikeSwinging,Fastball,NA,NA,NA
0.13279,1.98019,Example RHB,StrikeSwinging,ChangeUp,NA,NA,NA
0.79814,1.72314,Example LHB,StrikeCalled,Fastball,NA,NA,NA
0.33221,0.75642,Example LHB,BallCalled,Fastball,NA,NA,NA
1.58792,3.07601,Example LHB,BallCalled,ChangeUp,NA,NA,NA
0.43302,3.21886,Example LHB,BallCalled,Slider,NA,NA,NA
-0.06379,3.64241,Example LHB,FoulBall,Fastball,74.03739,35.125261,229.23842
0.32122,1.69209,Example RHB,FoulBall,Fastball,NA,NA,NA
-0.45433,1.51567,Example LHB,BallCalled,Fastball,NA,NA,NA
-0.19953,3.41105,Example LHB,StrikeCalled,Fastball,NA,NA,NA
-0.64781,3.89895,Example LHB,BallCalled,ChangeUp,NA,NA,NA
0.04798,0.94355,Example RHB,BallCalled,Fastball,NA,NA,NA
0.42951,3.28806,Example LHB,InPlay,Slider,81.70227,64.961345,184.00342
1.26196,2.75131,Example LHB,BallCalled,Fastball,NA,NA,NA
-0.19295,1.81259,Example RHB,InPlay,ChangeUp,59.16271,-32.355864,4.86281
-0.06861,1.97482,Example LHB,StrikeSwinging,ChangeUp,NA,NA,NA
0.37866,2.09657,Example RHB,StrikeCalled,Fastball,NA,NA,NA
0.42223,1.8395,Example RHB,FoulBall,Fastball,NA,NA,NA
0.34516,2.86867,Example LHB,FoulBall,Fastball,NA,NA,NA
-0.33675,1.74401,Example RHB,InPlay,Curveball,86.96203,23.602949,309.1119
0.30796,1.61163,Example LHB,InPlay,Curveball,53.28807,-61.210062,3.22539
-0.24893,2.18235,Example RHB,StrikeSwinging,Fastball,NA,NA,NA
0.42837,3.19059,Example LHB,StrikeSwinging,Fastball,NA,NA,NA
-0.40585,1.13393,Example LHB,StrikeSwinging,Fastball,NA,NA,NA
-0.3661,1.40098,Example LHB,StrikeCalled,Fastball,NA,NA,NA
0.072,2.43365,Example LHB,InPlay,Fastball,98.83464,-4.575702,33.95207
-0.65809,2.18508,Example RHB,StrikeCalled,Fastball,NA,NA,NA
-1.3152,1.42621,Example RHB,BallCalled,Fastball,NA,NA,NA
-1.24895,1.47437,Example RHB,BallCalled,Curveball,NA,NA,NA
-0.00863,4.04088,Example LHB,BallCalled,Fastball,NA,NA,NA
-2.03419,1.78506,Example RHB,BallCalled,Slider,NA,NA,NA
-0.75421,0.69226,Example LHB,BallCalled,Fastball,NA,NA,NA
0.25747,1.55404,Example LHB,InPlay,ChangeUp,95.91769,26.530966,373.54636
0.02487,2.79835,Example RHB,FoulBall,Fastball,74.21747,37.379037,237.16699
-0.85246,2.01035,Example LHB,BallCalled,Fastball,NA,NA,NA
-0.8529,3.02116,Example RHB,StrikeCalled,Slider,NA,NA,NA
0.23916,3.57261,Example RHB,InPlay,Fastball,71.53408,45.544175,233.68175
1.68223,3.22705,Example LHB,StrikeSwinging,Fastball,NA,NA,NA
1.60858,3.82357,Example LHB,BallCalled,Fastball,NA,NA,NA
-1.63427,3.12405,Example LHB,BallCalled,Fastball,NA,NA,NA
0.08468,2.22854,Example LHB,StrikeSwinging,Fastball,NA,NA,NA
1.29327,2.41246,Example LHB,InPlay,Fastball,83.22427,0.467442,44.50892
-0.57261,1.14281,Example RHB,BallCalled,Fastball,NA,NA,NA
-0.42566,4.64386,Example RHB,BallCalled,Fastball,NA,NA,NA
-1.02674,1.169,Example RHB,BallCalled,Fastball,NA,NA,NA
1.19831,2.1449,Example LHB,BallCalled,Slider,NA,NA,NA
1.47151,3.00633,Example RHB,InPlay,Fastball,60.96053,-3.543174,39.06242
-0.68545,1.66008,Example LHB,InPlay,Slider,61.82729,-30.214304,6.68063
0.02709,2.11904,Example RHB,StrikeSwinging,Slider,NA,NA,NA
-0.8695,2.50876,Example RHB,StrikeCalled,Slider,NA,NA,NA
0.87276,3.63914,Example LHB,BallCalled,Fastball,NA,NA,NA
0.03506,1.84221,Example RHB,FoulBall,Slider,73.12308,-23.927508,5.90466
-1.07152,3.49137,Example RHB,BallCalled,Fastball,NA,NA,NA
-0.53309,3.86557,Example RHB,BallCalled,Fastball,NA,NA,NA
0.62224,3.94928,Example RHB,BallCalled,Fastball,NA,NA,NA
0.16204,1.8300399999999999,Example LHB,FoulBall,Fastball,73.76896,21.01575,202.17783
0.96564,0.91679,Example LHB,BallCalled,ChangeUp,NA,NA,NA
-0.16921,3.32588,Example LHB,FoulBall,Fastball,NA,NA,NA
-2.1919400000000002,-0.57901,Example RHB,BallinDirt,Curveball,NA,NA,NA
-0.39197,1.81399,Example LHB,StrikeSwinging,Curveball,NA,NA,NA
0.01076,5.62865,Example RHB,BallCalled,Fastball,NA,NA,NA
0.332,-0.44368,Example RHB,BallinDirt,Curveball,NA,NA,NA
1.18592,2.22498,Example LHB,FoulBall,Fastball,80.39231,38.632799,270.13312
1.05488,1.63454,Example LHB,InPlay,ChangeUp,85.55156,-14.411096,7.77377
1.29997,2.01287,Example LHB,BallCalled,ChangeUp,NA,NA,NA
1.03023,1.73107,Example LHB,StrikeCalled,Fastball,NA,NA,NA
0.45281,2.64674,Example RHB,InPlay,Fastball,NA,NA,NA
0.04707,3.97285,Example RHB,BallCalled,Fastball,NA,NA,NA
0.66186,3.39655,Example RHB,BallCalled,Fastball,NA,NA,NA
-0.66295,0.6003,Example RHB,BallCalled,Slider,NA,NA,NA
0.13231,1.10205,Example LHB,StrikeSwinging,ChangeUp,NA,NA,NA
0.82766,3.96504,Example RHB,BallCalled,Slider,NA,NA,NA
2.75238,3.87185,Example LHB,BallCalled,Curveball,NA,NA,NA
1.54607,4.25123,Example RHB,BallCalled,Splitter,NA,NA,NA
-0.00195,2.88641,Example RHB,InPlay,Fastball,87.43754,61.230668,164.972
-1.26303,1.60606,Example RHB,StrikeSwinging,Curveball,NA,NA,NA
-0.41786,4.32068,Example RHB,BallCalled,Fastball,NA,NA,NA
1.53686,1.44657,Example LHB,BallCalled,Fastball,NA,NA,NA
0.23825,1.39441,Example LHB,StrikeSwinging,ChangeUp,NA,NA,NA
0.06981,4.07744,Example RHB,BallCalled,Fastball,NA,NA,NA
-0.27658,1.46183,Example LHB,FoulBall,Curveball,98.794,18.876404,261.84925
-1.15331,1.90462,Example RHB,BallCalled,Fastball,NA,NA,NA
0.98923,3.41251,Example LHB,StrikeSwinging,Fastball,NA,NA,NA
0.75707,3.27518,Example LHB,StrikeCalled,Fastball,NA,NA,NA
0.0485,2.27646,Example RHB,FoulBall,Fastball,NA,NA,NA
0.09593,2.43124,Example RHB,InPlay,Fastball,96.03071,45.114444,342.1768
-0.50672,2.39443,Example RHB,StrikeSwinging,Slider,NA,NA,NA
0.11285,2.52097,Example RHB,InPlay,Curveball,85.81817,-2.453644,33.81682
0.62876,2.69509,Example LHB,InPlay,Fastball,94.03612,-23.612866,6.71931
-1.09846,2.73114,Example RHB,FoulBall,Fastball,NA,NA,NA
0.1085,2.53814,Example LHB,StrikeCalled,Fastball,NA,NA,NA
-0.55911,1.78352,Example LHB,InPlay,ChangeUp,97.15745,7.860002,152.21523
-0.37865,0.78657,Example RHB,BallCalled,Fastball,NA,NA,NA
0.4529,2.30531,Example RHB,StrikeSwinging,Fastball,NA,NA,NA
0.64647,2.68356,Example RHB,FoulBall,Curveball,NA,NA,NA
2.83055,3.35717,Example LHB,BallCalled,ChangeUp,NA,NA,NA
0.64079,1.99573,Example LHB,InPlay,Curveball,88.0295,26.803554,328.27434
0.35196,3.27079,Example RHB,StrikeSwinging,Fastball,NA,NA,NA
0.39558,-0.14642,Example LHB,BallinDirt,Fastball,NA,NA,NA
0.738,2.78985,Example RHB,StrikeSwinging,Curveball,NA,NA,NA
0.39725,1.8941,Example LHB,StrikeCalled,Curveball,NA,NA,NA
-0.25134,3.00727,Example RHB,StrikeSwinging,Fastball,NA,NA,NA
1.16476,4.46126,Example LHB,BallCalled,Fastball,NA,NA,NA
0.42448,2.66761,Example LHB,StrikeSwinging,Slider,NA,NA,NA
0.6574,3.27293,Example RHB,InPlay,Slider,NA,NA,NA
-0.707,2.3427,Example RHB,FoulBall,Fastball,76.16823,9.673436,109.08438
1.87883,3.02119,Example LHB,BallCalled,Fastball,NA,NA,NA
-0.73154,1.68924,Example LHB,InPlay,Curveball,NA,NA,NA
0.08167,2.57345,Example LHB,FoulBall,Fastball,72.47547,26.290083,226.17921
2.2011,3.07695,Example LHB,BallCalled,ChangeUp,NA,NA,NA
-1.15028,1.58979,Example RHB,StrikeSwinging,Slider,NA,NA,NA
0.01539,1.21072,Example RHB,BallCalled,ChangeUp,NA,NA,NA
0.61836,3.35263,Example RHB,FoulBall,Curveball,NA,NA,NA
0.41282,1.16567,Example RHB,BallCalled,Splitter,NA,NA,NA
0.90717,2.47246,Example RHB,FoulBall,Fastball,NA,NA,NA
1.53684,2.45582,Example LHB,StrikeSwinging,ChangeUp,NA,NA,NA
-1.3889,1.7868,Example RHB,BallCalled,Slider,NA,NA,NA
0.19922,2.46802,Example LHB,StrikeCalled,Fastball,67.89587,35.238384,201.75359
-0.68534,2.47173,Example RHB,FoulBall,Fastball,80.3179,64.237232,136.48114
0.56964,2.36861,Example LHB,FoulBall,Fastball,83.8777,49.840231,268.69379
0.69648,1.38426,Example LHB,InPlay,Fastball,63.66108,-33.279802,4.40803
0.85335,3.86036,Example LHB,BallCalled,Curveball,NA,NA,NA
1.44705,2.08397,Example LHB,BallCalled,Fastball,NA,NA,NA
0.58782,2.53991,Example LHB,FoulBall,Fastball,NA,NA,NA
-0.22827,2.46223,Example RHB,InPlay,Slider,95.43111,25.289057,335.75141
0.13631,3.1841,Example RHB,StrikeSwinging,Fastball,NA,NA,NA
0.07879,1.01467,Example RHB,BallCalled,Fastball,NA,NA,NA
0.74035,1.30433,Example LHB,StrikeSwinging,Fastball,NA,NA,NA
-0.79192,1.40388,Example LHB,BallCalled,Fastball,NA,NA,NA
0.90239,1.4921,Example LHB,BallCalled,Fastball,NA,NA,NA
0.83182,2.77098,Example LHB,StrikeCalled,Curveball,NA,NA,NA
-0.16877,2.88574,Example RHB,InPlay,Fastball,98.70407,31.148992,410.32852
0.08303,2.86116,Example LHB,InPlay,Fastball,89.47909,56.002981,246.50129
-2.21905,-0.63163,Example RHB,BallinDirt,Curveball,NA,NA,NA
0.94841,3.18178,Example LHB,StrikeCalled,Fastball,NA,NA,NA
-1.06053,2.2284,Example RHB,InPlay,Fastball,61.53343,-75.936887,2.60152
0.49816,1.47116,Example LHB,InPlay,Fastball,86.57298,-14.900127,5.48522
-1.11651,1.58677,Example RHB,BallCalled,Fastball,NA,NA,NA
-1.8579,1.07512,Example RHB,BallCalled,Fastball,NA,NA,NA
0.36736,3.35503,Example RHB,BallCalled,Fastball,NA,NA,NA
-1.06483,0.51405,Example LHB,BallCalled,Curveball,NA,NA,NA
-1.05798,2.3345,Example LHB,FoulBall,Fastball,NA,NA,NA
-0.3221,1.42723,Example RHB,StrikeCalled,Curveball,NA,NA,NA
-0.95495,2.12523,Example LHB,FoulBall,Fastball,NA,NA,NA
0.47212,3.95038,Example LHB,BallCalled,Fastball,NA,NA,NA
0.33857,3.29055,Example RHB,FoulBall,Fastball,67.84552,52.358859,210.98352
1.25874,1.67838,Example LHB,FoulBall,ChangeUp,NA,NA,NA
0.91198,1.62532,Example LHB,StrikeCalled,Fastball,NA,NA,NA
-0.21064,1.91073,Example RHB,StrikeCalled,Fastball,NA,NA,NA
-0.82696,2.75969,Example LHB,InPlay,Fastball,66.30126,38.340288,207.35236
-1.9236,0.11844,Example RHB,BallCalled,Curveball,NA,NA,NA
-0.72172,0.74386,Example LHB,BallCalled,Fastball,NA,NA,NA
0.94282,3.043,Example LHB,StrikeCalled,Fastball,NA,NA,NA
2.1213,3.80443,Example LHB,BallCalled,Curveball,NA,NA,NA
-0.14005,2.00025,Example RHB,InPlay,Curveball,105.58875,10.80141,180.88448
0.61292,1.49178,Example LHB,BallCalled,Fastball,NA,NA,NA
0.82847,2.4488,Example RHB,FoulBall,Curveball,NA,NA,NA
-2.14489,2.2254,Example LHB,BallCalled,Slider,NA,NA,NA
-0.16395,3.00348,Example LHB,InPlay,Fastball,101.07636,13.048972,241.62992
0.43923,2.55073,Example RHB,FoulBall,Fastball,NA,NA,NA
-0.90196,2.81201,Example RHB,StrikeCalled,Fastball,NA,NA,NA
-0.41171,0.15719,Example RHB,BallCalled,ChangeUp,NA,NA,NA
0.94229,2.61877,Example LHB,StrikeCalled,Slider,NA,NA,NA
-2.89178,3.26404,Example RHB,BallCalled,Fastball,NA,NA,NA
-0.18811,1.06961,Example RHB,BallCalled,Slider,NA,NA,NA
-2.68457,2.83203,Example RHB,BallCalled,ChangeUp,NA,NA,NA
0.91628,2.18767,Example LHB,StrikeCalled,Fastball,NA,NA,NA
0.87318,2.94655,Example LHB,StrikeSwinging,Sinker,NA,NA,NA
2.10872,1.06689,Example LHB,BallCalled,Fastball,NA,NA,NA
1.0583,2.94793,Example LHB,BallCalled,ChangeUp,NA,NA,NA
1.38825,4.42787,Example LHB,BallCalled,Fastball,NA,NA,NA
-1.25529,2.26449,Example RHB,StrikeCalled,Fastball,NA,NA,NA
-1.18799,2.6591,Example RHB,StrikeCalled,Fastball,NA,NA,NA
-1.63868,-0.07372,Example RHB,BallCalled,Slider,NA,NA,NA
-1.04587,-0.51247,Example LHB,BallCalled,Slider,NA,NA,NA
1.84827,1.35385,Example LHB,BallCalled,Fastball,NA,NA,NA
0.68328,1.70744,Example LHB,StrikeSwinging,Fastball,NA,NA,NA
-1.71981,1.64812,Example RHB,BallCalled,Slider,NA,NA,NA
0.43091,1.37313,Example LHB,BallCalled,Curveball,NA,NA,NA
1.38629,0.79374,Example LHB,BallCalled,Fastball,NA,NA,NA
2.44151,2.79009,Example LHB,BallCalled,Fastball,NA,NA,NA
1.29713,3.16906,Example LHB,BallCalled,Curveball,NA,NA,NA
0.09917,2.14445,Example LHB,FoulBall,Fastball,88.20115,19.392668,276.87435
-0.81342,1.81735,Example LHB,InPlay,Curveball,91.33819,17.135994,284.04563
-0.82095,1.59539,Example RHB,InPlay,ChangeUp,84.17663,5.120146,91.56382
-0.75516,2.35491,Example RHB,StrikeSwinging,Fastball,NA,NA,NA
1.23278,0.19976,Example RHB,BallCalled,Curveball,NA,NA,NA
-1.30199,2.83369,Example RHB,BallCalled,Fastball,NA,NA,NA
0.21787,1.50932,Example LHB,InPlay,Fastball,99.67668,-12.583923,8.22931
1.90905,2.07064,Example LHB,BallCalled,Fastball,NA,NA,NA
-0.92595,1.98605,Example LHB,FoulBall,Slider,NA,NA,NA
0.00381,2.78011,Example RHB,FoulBall,Fastball,71.26063,27.970714,206.04891
0.32577,2.23069,Example LHB,InPlay,Fastball,90.90354,-8.210093,17.29408
-0.19042,1.82315,Example RHB,StrikeSwinging,ChangeUp,NA,NA,NA
-0.35582,3.88251,Example LHB,BallCalled,Fastball,NA,NA,NA
-0.26552,3.20349,Example LHB,FoulBall,Fastball,65.08304,53.188529,170.66502
-0.95092,1.90754,Example LHB,InPlay,Fastball,86.12109,39.869973,314.14137
1.56012,-0.05082,Example RHB,BallCalled,Slider,NA,NA,NA
0.99617,0.60849,Example LHB,StrikeSwinging,Fastball,NA,NA,NA
-0.04165,2.84279,Example RHB,FoulBall,Fastball,NA,NA,NA
0.63414,2.10047,Example RHB,FoulBall,Fastball,NA,NA,NA
0.39717,2.45775,Example LHB,StrikeCalled,Fastball,NA,NA,NA
0.58352,1.39775,Example LHB,BallCalled,Fastball,NA,NA,NA
1.84623,0.38931,Example LHB,BallCalled,Slider,NA,NA,NA
0.65712,3.59644,Example LHB,FoulBall,Slider,NA,NA,NA
0.91221,3.0722,Example RHB,InPlay,ChangeUp,101.94801,15.506422,312.61824
0.67631,1.49652,Example LHB,BallCalled,Slider,NA,NA,NA
1.12794,1.94759,Example RHB,StrikeCalled,ChangeUp,NA,NA,NA
0.72342,2.41083,Example RHB,FoulBall,Fastball,NA,NA,NA
0.707,3.26471,Example RHB,StrikeCalled,Curveball,NA,NA,NA
-0.66737,2.36075,Example LHB,StrikeCalled,Fastball,NA,NA,NA
0.05535,1.86068,Example RHB,InPlay,Fastball,104.00259,9.263548,214.7363
-1.08638,2.76072,Example RHB,FoulBall,Fastball,78.83736,38.199615,317.00776
-0.08832,1.70763,Example RHB,StrikeSwinging,Fastball,NA,NA,NA
1.38884,4.46389,Example RHB,BallCalled,Slider,NA,NA,NA
0.27466,2.74931,Example RHB,FoulBall,Fastball,62.28046,58.420307,145.82883
0.0192,1.5685500000000001,Example LHB,InPlay,ChangeUp,89.1294,-8.936567,13.95961
-0.33673,0.8423,Example RHB,BallCalled,Fastball,NA,NA,NA
-0.6506,2.21535,Example RHB,FoulBall,Fastball,92.7861,43.442754,229.70383
-0.5282,2.40952,Example RHB,FoulBall,Curveball,86.69075,25.327767,294.17154
-0.89717,1.2496,Example RHB,BallCalled,Fastball,NA,NA,NA
-0.37497,3.62602,Example RHB,BallCalled,Fastball,NA,NA,NA
0.46898,3.12461,Example LHB,StrikeSwinging,Curveball,NA,NA,NA
0.67985,3.54895,Example LHB,BallCalled,Fastball,NA,NA,NA
1.37191,2.10434,Example LHB,StrikeCalled,Cutter,NA,NA,NA
-0.46436,1.07524,Example RHB,InPlay,Curveball,103.47571,2.72479,65.08231
-0.39568,1.7727,Example RHB,StrikeCalled,Fastball,NA,NA,NA
0.01698,3.75581,Example RHB,StrikeSwinging,Slider,NA,NA,NA
1.13784,3.09167,Example RHB,StrikeCalled,Fastball,NA,NA,NA
0.14691,1.91051,Example RHB,StrikeSwinging,Slider,NA,NA,NA
-0.29526,2.28701,Example RHB,InPlay,Slider,103.13566,10.63903,175.07013
0.21624,1.3789,Example LHB,InPlay,Slider,80.25741,63.437928,170.89019
