"Inn","Score","Out","RoB","Pit.cnt.","R.O","X.Bat","Batter","Pitcher","wWPA","wWE","Play.Description","Date","Result","value"
"b9","0-3","1","1--","7,(2-2) FLBBFFX","RR","SFG","Barry Bonds","Eric Gagne","-7%","88%","Home Run (Line Drive); Hammonds Scores",2004-04-16,"Home Run",1
"b2","0-0","0","---","5,(3-1) BBCBB","","SFG","Barry Bonds","Jose Lima","-4%","41%","Walk",2004-04-17,"Walk",1
"b3","1-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Jose Lima","-1%","34%","Intentional Walk",2004-04-17,"Walk",1
"b5","2-0","2","1--","2,(1-0) *BX","O","SFG","Barry Bonds","Jose Lima","2%","22%","Popfly: 3B (Short LF)",2004-04-17,"Popfly",1
"b8","2-4","2","---","5,(3-1) CBBBX","R","SFG","Barry Bonds","Darren Dreifort","-11%","80%","Home Run (Fly Ball)",2004-04-17,"Home Run",1
"b1","0-0","2","1--","6,(3-2) BBC*BC>X","R","SFG","Barry Bonds","Jeff Weaver","-11%","37%","Double to RF (Line Drive to Deep RF Line); Grissom Scores",2004-04-18,"Double",1
"b4","1-1","0","---","5,(3-1) CBBBX","R","SFG","Barry Bonds","Jeff Weaver","-12%","32%","Home Run (Fly Ball to CF-RF)",2004-04-18,"Home Run",1
"b6","3-7","0","-2-","3,(1-1) BCX","RR","SFG","Barry Bonds","Jeff Weaver","-11%","74%","Home Run (Fly Ball to LF-CF); Grissom Scores",2004-04-18,"Home Run",1
"b7","5-7","1","12-","2,(0-1) .CX","R","SFG","Barry Bonds","Tom Martin","-21%","49%","Single to RF (Ground Ball); Snow Scores; Grissom to 3B",2004-04-18,"Single",1
"b1","1-0","1","-2-","4,(1-2) CSBX","O","SFG","Barry Bonds","David Wells","-3%","63%","Lineout: RF (CF-RF); Grissom to 3B",2004-04-19,"Lineout",1
"b3","3-0","2","---","2,(0-1) CX","R","SFG","Barry Bonds","David Wells","6%","88%","Home Run (Line Drive)",2004-04-19,"Home Run",1
"b5","4-0","2","---","5,(3-1) BBBCB","","SFG","Barry Bonds","David Wells","0%","92%","Walk",2004-04-19,"Walk",1
"b8","4-1","0","---","8,(3-2) BBFSFBFB","","SFG","Barry Bonds","Antonio Osuna","0%","98%","Walk",2004-04-19,"Walk",1
"b1","0-3","2","1--","4,(3-0) BBBB","","SFG","Barry Bonds","Brian Lawrence","-2%","74%","Walk; Grissom to 2B",2004-04-20,"Walk",1
"b4","0-6","0","1--","3,(2-0) BBX","RR","SFG","Barry Bonds","Brian Lawrence","-7%","85%","Home Run (Line Drive); Grissom Scores",2004-04-20,"Home Run",1
"b6","3-7","0","---","5,(3-1) BBBCB","","SFG","Barry Bonds","Brian Lawrence","-3%","87%","Walk",2004-04-20,"Walk",1
"b7","5-7","2","-2-","4,(3-0) .IIII","","SFG","Barry Bonds","Eddie Oropesa","-2%","78%","Intentional Walk",2004-04-20,"Walk",1
"b2","0-2","0","---","5,(2-2) CBBCC","O","SFG","Barry Bonds","Jake Peavy","3%","68%","Strikeout Looking",2004-04-21,"Strikeout",1
"b4","0-7","1","---","4,(3-0) BBBB","","SFG","Barry Bonds","Jake Peavy","-1%","96%","Walk",2004-04-21,"Walk",1
"b6","0-8","0","---","4,(3-0) BBBB","","SFG","Barry Bonds","Jake Peavy","-1%","98%","Walk",2004-04-21,"Walk",1
"t1","0-0","1","12-","3,(2-0) BBX","R","SFG","Barry Bonds","Odalis Perez","-12%","34%","Single to CF (Ground Ball); Alfonzo Scores; Grissom to 3B",2004-04-23,"Single",1
"t3","2-1","1","1--","4,(3-0) BBBI","","SFG","Barry Bonds","Odalis Perez","-3%","35%","Intentional Walk; Grissom to 2B",2004-04-23,"Walk",1
"t5","4-2","1","---","2,(0-1) SX","","SFG","Barry Bonds","Odalis Perez","-2%","24%","Single to RF (Line Drive)",2004-04-23,"Single",1
"t7","4-4","2","---","4,(3-0) IIII","","SFG","Barry Bonds","Guillermo Mota","-2%","55%","Intentional Walk",2004-04-23,"Walk",1
"t9","4-4","2","---","4,(3-0) IIII","","SFG","Barry Bonds","Eric Gagne","-3%","57%","Intentional Walk",2004-04-23,"Walk",1
"t12","4-4","1","---","4,(3-0) IIII","","SFG","Barry Bonds","Darren Dreifort","-6%","50%","Intentional Walk",2004-04-23,"Walk",1
"t1","1-0","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Jeff Weaver","2%","63%","Intentional Walk",2004-04-24,"Walk",1
"t3","3-1","1","---","6,(3-2) CBBBCB","","SFG","Barry Bonds","Jeff Weaver","2%","72%","Walk",2004-04-24,"Walk",1
"t5","3-1","2","---","5,(2-2) CBFBX","O","SFG","Barry Bonds","Jeff Weaver","-1%","72%","Groundout: SS-1B",2004-04-24,"Groundout",1
"t8","3-1","0","1--","5,(3-1) BBCBB","","SFG","Barry Bonds","Jeff Weaver","3%","91%","Walk; Alfonzo to 2B",2004-04-24,"Walk",1
"t2","0-0","0","---","2,(0-1) CX","O","SFG","Barry Bonds","Kazuhisa Ishii","2%","52%","Popfly: 3B",2004-04-25,"Popfly",1
"t4","0-6","2","1--","3,(1-1) CBX","","SFG","Barry Bonds","Kazuhisa Ishii","-1%","96%","Single to RF (Line Drive); Alfonzo to 2B",2004-04-25,"Single",1
"b2","0-0","0","---","7,(3-2) BBCSBFS","O","SFG","Barry Bonds","Horacio Ramirez","-2%","53%","Strikeout Swinging",2004-04-26,"Strikeout",1
"b3","3-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Horacio Ramirez","0%","83%","Intentional Walk",2004-04-26,"Walk",1
"b5","3-2","2","12-","4,(3-0) IIII","","SFG","Barry Bonds","Horacio Ramirez","3%","73%","Intentional Walk; Alfonzo to 3B; Feliz to 2B",2004-04-26,"Walk",1
"b8","3-2","1","---","4,(3-0) BBBB","","SFG","Barry Bonds","Kevin Gryboski","1%","87%","Walk",2004-04-26,"Walk",1
"b1","1-0","2","---","4,(3-0) BBBB","","SFG","Barry Bonds","Jaret Wright","-1%","38%","Walk",2004-04-27,"Walk",1
"b3","1-4","1","12-","4,(1-2) FBFX","O","SFG","Barry Bonds","Jaret Wright","5%","77%","Flyball: CF",2004-04-27,"Flyball",1
"b5","1-5","2","--3","3,(0-2) CCX","O","SFG","Barry Bonds","Jaret Wright","3%","92%","Foul Popfly: C (Behind Home)",2004-04-27,"Foul Out",1
"b8","2-5","0","---","5,(3-1) BBSBB","","SFG","Barry Bonds","Chris Reitsma","-5%","86%","Walk",2004-04-27,"Walk",1
"b1","0-0","1","-23","4,(3-0) B.III","","SFG","Barry Bonds","Russ Ortiz","1%","64%","Intentional Walk",2004-04-28,"Walk",1
