"Inn","Score","Out","RoB","Pit.cnt.","R.O","X.Bat","Batter","Pitcher","wWPA","wWE","Play.Description","Date","Result","value"
"t9","7-2","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Scott Service","0%","99%","Intentional Walk",2004-05-31,"Walk",1
"t2","0-0","0","---","1,(0-0) X","O","SFG","Barry Bonds","Steve Sparks","2%","52%","Groundout: P-1B",2004-06-01,"Groundout",1
"t4","0-3","1","1--","5,(2-2) CSBBX","","SFG","Barry Bonds","Steve Sparks","-6%","74%","Single to RF (Line Drive to Deep RF); Grissom to 3B",2004-06-01,"Single",1
"t6","1-3","2","---","1,(0-0) X","O","SFG","Barry Bonds","Steve Sparks","1%","84%","Lineout: 2B (Short RF)",2004-06-01,"Lineout",1
"t7","5-3","2","-23","4,(3-0) IIII","","SFG","Barry Bonds","Mike Koplove","-1%","18%","Intentional Walk",2004-06-01,"Walk",1
"t1","0-0","2","1--","2,(0-1) CH","","SFG","Barry Bonds","Randy Johnson","-2%","51%","Hit By Pitch; Perez to 2B",2004-06-02,"HBP",1
"t4","0-4","0","---","5,(3-1) SBBBX","O","SFG","Barry Bonds","Randy Johnson","2%","89%","Groundout: 1B unassisted",2004-06-02,"Groundout",1
"t5","4-5","1","---","4,(2-1) BBCX","O","SFG","Barry Bonds","Randy Johnson","2%","69%","Groundout: 2B-1B",2004-06-02,"Groundout",1
"t7","4-8","2","1--","3,(0-2) .CCX","","SFG","Barry Bonds","Shane Nance","-1%","94%","Single to RF (Line Drive); Grissom to 2B",2004-06-02,"Single",1
"t9","6-8","1","---","2,(1-0) BX","O","SFG","Barry Bonds","Jose Valverde","3%","99%","Popfly: 1B",2004-06-02,"Popfly",1
"t1","0-0","1","-23","4,(3-0) IIII","","SFG","Barry Bonds","Brandon Webb","-1%","41%","Intentional Walk",2004-06-03,"Walk",1
"t2","4-0","2","1--","6,(3-2) BBSCB>X","O","SFG","Barry Bonds","Brandon Webb","1%","19%","Groundout: SS-1B",2004-06-03,"Groundout",1
"t5","4-3","2","---","6,(3-2) BBSSBB","","SFG","Barry Bonds","Brandon Webb","-1%","40%","Walk",2004-06-03,"Walk",1
"t7","4-8","1","1--","4,(3-0) B*BBB","","SFG","Barry Bonds","Steve Randolph","-3%","91%","Walk; Alfonzo to 2B",2004-06-03,"Walk",1
"t2","0-2","0","---","4,(2-1) SBBX","O","SFG","Barry Bonds","Joe Kennedy","-2%","29%","Groundout: P-1B",2004-06-04,"Groundout",1
"t3","2-2","2","1--","4,(3-0) BB*BI","","SFG","Barry Bonds","Joe Kennedy","2%","49%","Intentional Walk; Grissom to 2B",2004-06-04,"Walk",1
"t5","2-2","1","1--","2,(0-1) CX","RR","SFG","Barry Bonds","Jeff Fassero","21%","71%","Home Run (Fly Ball); Alfonzo Scores",2004-06-04,"Home Run",1
"t6","7-2","1","1--","5,(3-1) BFBBB","","SFG","Barry Bonds","Allan Simpson","1%","95%","Walk; Alfonzo to 2B",2004-06-04,"Walk",1
"t1","0-0","2","1--","4,(3-0) IIII","","SFG","Barry Bonds","Jason Jennings","-2%","51%","Intentional Walk; Tucker to 2B",2004-06-05,"Walk",1
"t3","0-1","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Jason Jennings","-1%","61%","Intentional Walk",2004-06-05,"Walk",1
"t5","1-4","1","1--","4,(3-0) BBBB","","SFG","Barry Bonds","Jason Jennings","-4%","78%","Walk; Grissom to 2B",2004-06-05,"Walk",1
"t7","1-8","2","---","4,(2-1) BCBX","","SFG","Barry Bonds","Tim Harikkala","0%","99%","Double to RF (Fly Ball to Deep RF)",2004-06-05,"Double",1
"t1","0-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Aaron Cook","1%","49%","Intentional Walk",2004-06-06,"Walk",1
"t3","3-0","0","---","1,(0-0) X","","SFG","Barry Bonds","Aaron Cook","2%","80%","Single to LF (Line Drive)",2004-06-06,"Single",1
"t5","3-2","0","1--","5,(3-1) BBBCB","","SFG","Barry Bonds","Aaron Cook","5%","72%","Walk; Feliz to 2B",2004-06-06,"Walk",1
"t6","8-2","1","---","2,(1-0) BX","R","SFG","Barry Bonds","Scott Dohmann","2%","98%","Home Run (Fly Ball)",2004-06-06,"Home Run",1
"t8","9-2","1","12-","3,(2-0) BBX","O","SFG","Barry Bonds","Steve Reed","0%","99%","Flyball: LF (Deep LF)",2004-06-06,"Flyball",1
"t7","6-5","2","1--","4,(3-0) .IIII","","SFG","Barry Bonds","Steve Reed","2%","66%","Intentional Walk; Minor to 2B",2004-06-07,"Walk",1
"t1","1-0","1","1--","6,(3-2) BCB1BF>B","","SFG","Barry Bonds","Doug Waechter","6%","65%","Walk, Grissom Steals 2B; Grissom to 3B",2004-06-08,"Walk",1
"t3","4-0","1","---","4,(1-2) FFBS","O","SFG","Barry Bonds","Dewon Brazelton","-1%","83%","Strikeout Swinging",2004-06-08,"Strikeout",1
"t6","4-0","1","---","5,(3-1) BSBBB","","SFG","Barry Bonds","Dewon Brazelton","1%","91%","Walk",2004-06-08,"Walk",1
"t7","4-0","2","123","1,(0-0) .H","R","SFG","Barry Bonds","Trever Miller","3%","97%","Hit By Pitch; Tucker Scores/unER; Perez to 3B; Grissom to 2B",2004-06-08,"HBP",1
"t9","6-1","1","1-3","5,(2-2) CFBBX","R","SFG","Barry Bonds","Lance Carter","0%","100%","Single to RF (Ground Ball); Tucker Scores; Grissom to 2B",2004-06-08,"Single",1
"t1","1-0","0","12-","2,(0-1) CX","O","SFG","Barry Bonds","Mark Hendrickson","0%","33%","Groundout: P-1B; Mohr to 3B; Grissom to 2B",2004-06-09,"Groundout",1
"t3","1-0","2","1--","4,(1-2) CS*B1X","O","SFG","Barry Bonds","Mark Hendrickson","2%","44%","Groundout: 2B-1B (Short RF)",2004-06-09,"Groundout",1
"t6","1-0","1","---","2,(0-1) FX","O","SFG","Barry Bonds","Mark Hendrickson","2%","39%","Groundout: 2B-1B (Short RF)",2004-06-09,"Groundout",1
"t8","1-0","2","---","4,(2-1) BBTX","","SFG","Barry Bonds","Mark Hendrickson","-1%","29%","Single to LF (Line Drive to LF-CF)",2004-06-09,"Single",1
"t10","3-3","0","---","2,(0-1) CX","O","SFG","Barry Bonds","Danys Baez","6%","56%","Popfly: 3B",2004-06-09,"Popfly",1
"t1","0-0","2","1--","3,(1-1) BSX","O","SFG","Barry Bonds","Rodrigo Lopez","-2%","45%","Groundout: 1B unassisted",2004-06-12,"Groundout",1
"t3","0-0","2","---","2,(1-0) BX","R","SFG","Barry Bonds","Rodrigo Lopez","11%","57%","Home Run (Fly Ball)",2004-06-12,"Home Run",1
"t6","1-4","1","---","5,(3-1) BCBBX","","SFG","Barry Bonds","Rodrigo Lopez","3%","15%","Single to RF (Ground Ball)",2004-06-12,"Single",1
"t7","5-4","2","---","5,(2-2) .BSBFT","O","SFG","Barry Bonds","John Parrish","-1%","62%","Strikeout Swinging",2004-06-12,"Strikeout",1
"t10","5-5","1","---","4,(1-2) BCFX","O","SFG","Barry Bonds","B.J. Ryan","-5%","39%","Foul Popfly: 3B (3B into Foul Terr.)",2004-06-12,"Foul Out",1
"t11","8-5","2","12-","2,(0-1) .FX","R","SFG","Barry Bonds","Jorge Julio","2%","98%","Single to LF (Ground Ball); Mohr Scores; Cruz to 2B",2004-06-12,"Single",1
"t2","0-0","0","---","1,(0-0) X","","SFG","Barry Bonds","Erik Bedard","-4%","46%","Reached on E4 (throw) (Ground Ball)",2004-06-12,"Reached on Error",1
"t3","2-0","2","12-","5,(3-1) *BBBCB","","SFG","Barry Bonds","Erik Bedard","-2%","28%","Walk; Mohr to 3B; Feliz to 2B",2004-06-12,"Walk",1
"t5","2-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Erik Bedard","-1%","26%","Intentional Walk",2004-06-12,"Walk",1
"t7","3-2","1","--3","4,(3-0) IIII","","SFG","Barry Bonds","Mike DeJean","-2%","24%","Intentional Walk",2004-06-12,"Walk",1
"t9","4-4","2","--3","4,(3-0) IIII","","SFG","Barry Bonds","B.J. Ryan","-2%","50%","Intentional Walk",2004-06-12,"Walk",1
"t11","4-4","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","John Parrish","-1%","53%","Intentional Walk",2004-06-12,"Walk",1
"t1","0-0","2","1--","3,(2-0) BBX","O","SFG","Barry Bonds","Sidney Ponson","-2%","45%","Flyball: LF (Deep LF)",2004-06-13,"Flyball",1
"t3","0-1","2","--3","1,(0-0) X","RR","SFG","Barry Bonds","Sidney Ponson","19%","57%","Home Run (Fly Ball); Tucker Scores",2004-06-13,"Home Run",1
"t5","2-2","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Sidney Ponson","2%","55%","Intentional Walk",2004-06-13,"Walk",1
"t6","3-2","2","12-","1,(0-0) X","R","SFG","Barry Bonds","Sidney Ponson","13%","77%","Single to RF (Line Drive to CF-RF); Tucker Scores; Feliz to 3B",2004-06-13,"Single",1
"t8","6-3","0","---","5,(2-2) BSFBX","O","SFG","Barry Bonds","Buddy Groom","-1%","91%","Groundout: 3B-1B",2004-06-13,"Groundout",1
"b2","0-1","0","---","5,(3-1) BBBCB","","SFG","Barry Bonds","Miguel Batista","4%","48%","Walk",2004-06-15,"Walk",1
"b4","1-1","0","--3","5,(3-1) BCBBB","","SFG","Barry Bonds","Miguel Batista","4%","71%","Walk",2004-06-15,"Walk",1
"b6","2-1","1","---","1,(0-0) X","O","SFG","Barry Bonds","Miguel Batista","-2%","70%","Flyball: LF",2004-06-15,"Flyball",1
"b8","4-3","0","---","6,(2-2) .CBBFFX","O","SFG","Barry Bonds","Jason Frasor","-1%","85%","Groundout: P-1B",2004-06-15,"Groundout",1
"b1","1-0","1","--3","4,(3-0) IIII","","SFG","Barry Bonds","Pat Hentgen","2%","70%","Intentional Walk",2004-06-16,"Walk",1
"b3","4-1","0","---","7,(3-2) CFBBBFX","","SFG","Barry Bonds","Pat Hentgen","3%","87%","Double to CF (Line Drive to Deep CF)",2004-06-16,"Double",1
"b5","7-1","0","---","2,(1-0) BX","O","SFG","Barry Bonds","Bob File","0%","98%","Groundout: 2B-1B (Short RF)",2004-06-16,"Groundout",1
"b6","10-1","1","---","1,(0-0) X","","SFG","Barry Bonds","Jason Kershner","0%","100%","Single to CF (Line Drive)",2004-06-16,"Single",1
"b8","5-5","0","---","4,(3-0) .BBBI","","SFG","Barry Bonds","Justin Speier","6%","67%","Intentional Walk",2004-06-17,"Walk",1
"b1","1-0","1","-2-","4,(3-0) III+2I","","SFG","Barry Bonds","Tim Wakefield","-2%","32%","Intentional Walk",2004-06-18,"Walk",1
"b3","4-2","0","---","1,(0-0) X","O","SFG","Barry Bonds","Tim Wakefield","2%","25%","Groundout: 2B-1B (Short RF)",2004-06-18,"Groundout",1
"b4","7-2","2","---","4,(3-0) BBBB","","SFG","Barry Bonds","Tim Wakefield","0%","6%","Walk",2004-06-18,"Walk",1
"b7","7-9","0","---","1,(0-0) X","O","SFG","Barry Bonds","Mike Timlin","4%","82%","Groundout: 2B-1B (Short RF)",2004-06-18,"Groundout",1
"b9","9-14","0","---","5,(2-2) ...BFBFC","O","SFG","Barry Bonds","Keith Foulke","1%","100%","Strikeout Looking",2004-06-18,"Strikeout",1
"b1","2-0","0","-2-","7,(3-2) BFBCFBS","O","SFG","Barry Bonds","Pedro Martinez","-3%","74%","Strikeout Swinging",2004-06-19,"Strikeout",1
"b3","4-0","0","---","3,(2-0) BBX","O","SFG","Barry Bonds","Pedro Martinez","-1%","88%","Flyball: CF",2004-06-19,"Flyball",1
"b5","4-1","2","1--","2,(1-0) BX","O","SFG","Barry Bonds","Pedro Martinez","-1%","86%","Popfly: 2B",2004-06-19,"Popfly",1
"b8","4-4","0","---","3,(2-0) ..BBX","O","SFG","Barry Bonds","Alan Embree","-5%","56%","Groundout: SS-1B",2004-06-19,"Groundout",1
"b1","0-0","1","1-3","7,(3-2) BCFBFBX","O","SFG","Barry Bonds","Bronson Arroyo","-6%","55%","Popfly: 3B",2004-06-20,"Popfly",1
"b3","0-0","1","---","5,(3-1) BBBCB","","SFG","Barry Bonds","Bronson Arroyo","3%","56%","Walk",2004-06-20,"Walk",1
"b5","0-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Bronson Arroyo","1%","56%","Intentional Walk",2004-06-20,"Walk",1
"b7","0-0","1","12-","2,(0-1) .CX","","SFG","Barry Bonds","Alan Embree","9%","74%","Single to LF (Fly Ball to Short LF); Tucker to 3B; Grissom to 2B",2004-06-20,"Single",1
"b2","0-0","0","---","2,(1-0) BX","O","SFG","Barry Bonds","Odalis Perez","-2%","53%","Flyball: RF (Deep RF)",2004-06-21,"Flyball",1
"b5","0-1","0","---","5,(2-2) BFBSX","","SFG","Barry Bonds","Odalis Perez","9%","51%","Double to LF (Line Drive to Deep LF-CF)",2004-06-21,"Double",1
"b6","2-1","2","---","3,(1-1) CBX","O","SFG","Barry Bonds","Odalis Perez","-1%","69%","Groundout: SS-1B",2004-06-21,"Groundout",1
"b8","2-1","2","--3","4,(3-0) IIII","","SFG","Barry Bonds","Odalis Perez","1%","86%","Intentional Walk",2004-06-21,"Walk",1
"b1","1-0","2","---","6,(3-2) CBCBBB","","SFG","Barry Bonds","Kazuhisa Ishii","1%","62%","Walk",2004-06-22,"Walk",1
"b3","1-0","2","---","5,(3-1) BBCBX","O","SFG","Barry Bonds","Kazuhisa Ishii","-1%","62%","Groundout: 2B-1B",2004-06-22,"Groundout",1
"b5","3-2","0","12-","2,(1-0) BX","O","SFG","Barry Bonds","Kazuhisa Ishii","0%","79%","Groundout: 1B unassisted; Tucker to 3B; Grissom to 2B",2004-06-22,"Groundout",1
"b7","5-5","1","1--","2,(0-1) CX","","SFG","Barry Bonds","Wilson Alvarez","14%","73%","Double to LF (Line Drive to LF Line); Grissom to 3B",2004-06-22,"Double",1
"b8","8-5","2","-23","4,(3-0) IIII","","SFG","Barry Bonds","Tom Martin","0%","97%","Intentional Walk",2004-06-22,"Walk",1
"b1","0-2","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Jeff Weaver","1%","35%","Intentional Walk",2004-06-23,"Walk",1
"b3","3-2","0","---","7,(3-2) CBBFBFC","O","SFG","Barry Bonds","Jeff Weaver","-2%","65%","Strikeout Looking",2004-06-23,"Strikeout",1
"b5","3-2","2","---","3,(1-1) BCX","O","SFG","Barry Bonds","Jeff Weaver","-1%","66%","Lineout: CF (Deep CF)",2004-06-23,"Lineout",1
"b8","3-2","0","---","4,(3-0) .BBBB","","SFG","Barry Bonds","Guillermo Mota","2%","89%","Walk",2004-06-23,"Walk",1
"b2","0-0","0","---","5,(3-1) SBBBB","","SFG","Barry Bonds","Hideo Nomo","4%","59%","Walk",2004-06-24,"Walk",1
"b4","0-1","0","---","4,(3-0) BBBB","","SFG","Barry Bonds","Hideo Nomo","5%","48%","Walk",2004-06-24,"Walk",1
"b5","3-1","2","1--","5,(2-2) F*BF*BX","","SFG","Barry Bonds","Hideo Nomo","1%","81%","Single to LF (Ground Ball); Durham to 2B",2004-06-24,"Single",1
"b6","9-1","2","---","5,(2-2) BBCCS","O","SFG","Barry Bonds","Wilson Alvarez","0%","100%","Strikeout Swinging",2004-06-24,"Strikeout",1
"t1","0-0","1","12-","5,(3-1) BBCBB","","SFG","Barry Bonds","Barry Zito","6%","59%","Walk; Durham to 3B; Grissom to 2B",2004-06-25,"Walk",1
"t3","5-0","1","---","1,(0-0) X","O","SFG","Barry Bonds","Barry Zito","-1%","88%","Flyball: CF (Deep CF)",2004-06-25,"Flyball",1
"t5","6-0","2","--3","4,(3-0) BBBB","","SFG","Barry Bonds","Barry Zito","0%","96%","Walk",2004-06-25,"Walk",1
"t7","6-0","1","12-","6,(3-2) CSBB*BX","O","SFG","Barry Bonds","Barry Zito","0%","98%","Flyball: LF",2004-06-25,"Flyball",1
"t1","0-0","1","12-","2,(0-1) CX","O","SFG","Barry Bonds","Rich Harden","4%","51%","Flyball: LF (LF-CF)",2004-06-26,"Flyball",1
"t3","2-2","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Justin Duchscherer","-2%","46%","Intentional Walk",2004-06-26,"Walk",1
"t5","2-3","1","---","2,(1-0) BX","O","SFG","Barry Bonds","Justin Duchscherer","2%","69%","Groundout: SS-1B",2004-06-26,"Groundout",1
"t7","3-3","0","---","2,(0-1) CX","O","SFG","Barry Bonds","Justin Lehr","4%","54%","Popfly: 2B (CF-RF)",2004-06-26,"Popfly",1
"t9","3-7","0","---","5,(3-1) BBBCB","","SFG","Barry Bonds","Octavio Dotel","-2%","96%","Walk",2004-06-26,"Walk",1
"t10","7-7","0","---","6,(2-2) BSTFBX","","SFG","Barry Bonds","Octavio Dotel","-8%","42%","Single to RF (Ground Ball)",2004-06-26,"Single",1
"t1","0-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Mark Redman","1%","49%","Intentional Walk",2004-06-27,"Walk",1
"t4","0-1","0","---","2,(0-1) TX","R","SFG","Barry Bonds","Mark Redman","12%","50%","Home Run (Fly Ball)",2004-06-27,"Home Run",1
"t5","3-1","2","---","6,(3-2) BBCSBB","","SFG","Barry Bonds","Mark Redman","1%","72%","Walk",2004-06-27,"Walk",1
"t8","4-2","0","---","5,(3-1) .BBCBX","O","SFG","Barry Bonds","Ricardo Rincon","-1%","84%","Flyball: CF",2004-06-27,"Flyball",1
"t1","0-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Jeff Weaver","-1%","51%","Intentional Walk",2004-06-29,"Walk",1
"t3","1-0","2","1--","6,(3-2) CBFBBB","","SFG","Barry Bonds","Jeff Weaver","-2%","39%","Walk; Snow to 2B",2004-06-29,"Walk",1
"t5","1-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Jeff Weaver","-1%","36%","Intentional Walk",2004-06-29,"Walk",1
"t7","1-1","1","12-","4,(3-0) BBBB","","SFG","Barry Bonds","Guillermo Mota","-10%","34%","Walk; Snow to 3B; Grissom to 2B",2004-06-29,"Walk",1
"t1","1-0","2","---","5,(2-2) BCSBH","","SFG","Barry Bonds","Hideo Nomo","1%","58%","Hit By Pitch",2004-06-30,"HBP",1
"t3","1-0","1","12-","1,(0-0) X","RRR","SFG","Barry Bonds","Hideo Nomo","20%","86%","Home Run (Fly Ball to LF-CF); Durham Scores; Snow Scores",2004-06-30,"Home Run",1
"t5","5-0","1","---","8,(3-2) FCFFBBBB","","SFG","Barry Bonds","Hideo Nomo","1%","94%","Walk",2004-06-30,"Walk",1
"t7","7-0","0","---","5,(3-1) ..CBBBX","O","SFG","Barry Bonds","Duaner Sanchez","0%","99%","Groundout: SS-1B",2004-06-30,"Groundout",1
"t9","7-0","2","---","5,(2-2) FBBCX","O","SFG","Barry Bonds","Tom Martin","0%","100%","Groundout: 1B unassisted",2004-06-30,"Groundout",1
"t2","0-0","0","---","6,(1-2) CBSFFX","O","SFG","Barry Bonds","Jose Lima","2%","52%","Groundout: 1B unassisted",2004-07-01,"Groundout",1
"t4","1-1","1","1--","4,(3-0) IIII","","SFG","Barry Bonds","Jose Lima","-4%","45%","Intentional Walk; Grissom to 2B",2004-07-01,"Walk",1
"t7","2-2","0","---","4,(3-0) BBBX","R","SFG","Barry Bonds","Jose Lima","-20%","30%","Home Run (Fly Ball)",2004-07-01,"Home Run",1
"t8","4-4","2","---","4,(3-0) IIII","","SFG","Barry Bonds","Guillermo Mota","-3%","56%","Intentional Walk",2004-07-01,"Walk",1
"b1","1-3","2","---","5,(2-2) CCBBX","O","SFG","Barry Bonds","Mark Redman","-1%","30%","Groundout: 1B-P",2004-07-02,"Groundout",1
"b4","3-3","0","---","7,(3-2) CFBBFBX","R","SFG","Barry Bonds","Mark Redman","12%","68%","Home Run (Line Drive to LF-CF)",2004-07-02,"Home Run",1
"b5","4-3","2","1--","5,(3-1) BCBB1I","","SFG","Barry Bonds","Mark Redman","2%","70%","Intentional Walk; Grissom to 2B",2004-07-02,"Walk",1
"b7","7-3","1","---","5,(2-2) CFBBX","O","SFG","Barry Bonds","Ricardo Rincon","0%","96%","Lineout: CF (Deep CF)",2004-07-02,"Lineout",1
"b2","0-0","0","---","4,(3-0) BBBB","","SFG","Barry Bonds","Rich Harden","-4%","41%","Walk",2004-07-03,"Walk",1
"b4","1-0","1","---","1,(0-0) X","O","SFG","Barry Bonds","Rich Harden","2%","35%","Flyball: RF (CF-RF)",2004-07-03,"Flyball",1
"b6","2-1","2","1--","4,(3-0) IIII","","SFG","Barry Bonds","Rich Harden","-2%","27%","Intentional Walk; Snow to 2B",2004-07-03,"Walk",1
"b9","2-6","0","---","3,(1-1) ..BCX","","SFG","Barry Bonds","Octavio Dotel","-2%","96%","Single to CF (Ground Ball)",2004-07-03,"Single",1
"b2","0-1","0","---","4,(2-1) FBBH","","SFG","Barry Bonds","Mark Mulder","-4%","52%","Hit By Pitch",2004-07-04,"HBP",1
"b4","0-5","1","1-3","2,(0-1) SX","RO","SFG","Barry Bonds","Mark Mulder","1%","88%","Flyball: RF/Sacrifice Fly (CF-RF); Durham Scores",2004-07-04,"Flyball",1
"b6","3-8","0","---","6,(3-2) BCBFBB","","SFG","Barry Bonds","Mark Mulder","-2%","92%","Walk",2004-07-04,"Walk",1
"b8","3-8","0","1--","5,(3-1) CBBBB","","SFG","Barry Bonds","Chad Bradford","-3%","93%","Walk; Grissom to 2B",2004-07-04,"Walk",1
"b9","6-9","2","1--","5,(2-2) BBFFS","O","SFG","Barry Bonds","Octavio Dotel","2%","100%","Strikeout Swinging",2004-07-04,"Strikeout",1
"b1","1-0","1","1--","4,(1-2) CBFC","O","SFG","Barry Bonds","Denny Stark","2%","38%","Strikeout Looking",2004-07-06,"Strikeout",1
"b3","2-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Denny Stark","-1%","24%","Intentional Walk",2004-07-06,"Walk",1
"b4","6-1","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Denny Stark","0%","6%","Intentional Walk",2004-07-06,"Walk",1
"b6","6-1","2","1--","1,(0-0) X","O","SFG","Barry Bonds","Denny Stark","0%","3%","Popfly: 3B",2004-07-06,"Popfly",1
"b9","6-8","1","---","8,(3-2) CBBFBFFB","","SFG","Barry Bonds","Shawn Chacon","-6%","89%","Walk",2004-07-06,"Walk",1
"b2","0-1","0","---","1,(0-0) X","R","SFG","Barry Bonds","Adam Bernero","11%","55%","Home Run (Fly Ball)",2004-07-07,"Home Run",1
"b3","1-1","2","12-","4,(3-0) BBBI","","SFG","Barry Bonds","Adam Bernero","3%","58%","Intentional Walk; Rueter to 3B; Cruz to 2B",2004-07-07,"Walk",1
"b5","4-1","1","---","3,(1-1) CBX","O","SFG","Barry Bonds","Adam Bernero","-1%","87%","Groundout: 1B unassisted",2004-07-07,"Groundout",1
"b7","5-3","0","1--","5,(2-2) SBBCX","","SFG","Barry Bonds","Javier Lopez","4%","94%","Single to CF (Line Drive); Snow to 3B",2004-07-07,"Single",1
"b8","8-4","2","--3","4,(3-0) IIII","","SFG","Barry Bonds","Steve Reed","0%","99%","Intentional Walk",2004-07-07,"Walk",1
"b1","0-0","2","1--","5,(2-2) CBFBC","O","SFG","Barry Bonds","Elmer Dessens","2%","50%","Strikeout Looking",2004-07-08,"Strikeout",1
"b4","0-3","0","---","3,(1-1) FBX","","SFG","Barry Bonds","Elmer Dessens","-4%","74%","Single to CF (Line Drive)",2004-07-08,"Single",1
"b5","3-4","2","---","2,(0-1) CX","O","SFG","Barry Bonds","Andrew Good","2%","66%","Flyball: RF",2004-07-08,"Flyball",1
"b8","3-8","0","---","2,(0-1) CX","","SFG","Barry Bonds","Andrew Good","-2%","96%","Double to RF (Line Drive to RF Line)",2004-07-08,"Double",1
"b9","4-8","2","---","4,(2-1) BBCX","","SFG","Barry Bonds","Mike Koplove","0%","99%","Single to RF (Ground Ball thru CF-RF)",2004-07-08,"Single",1
"b1","1-0","1","-2-","4,(1-2) CFBX","R","SFG","Barry Bonds","Randy Johnson","7%","73%","Single to CF (Line Drive); Perez Scores",2004-07-09,"Single",1
"b3","2-2","2","---","3,(2-0) BBX","O","SFG","Barry Bonds","Randy Johnson","-1%","50%","Lineout: 3B",2004-07-09,"Lineout",1
"b5","3-3","2","12-","4,(3-0) IIII","","SFG","Barry Bonds","Randy Johnson","4%","59%","Intentional Walk; Durham to 3B; Perez to 2B",2004-07-09,"Walk",1
"b7","7-3","1","---","5,(3-1) CBBBB","","SFG","Barry Bonds","Greg Aquino","0%","97%","Walk",2004-07-09,"Walk",1
"b1","0-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Brandon Webb","1%","54%","Intentional Walk",2004-07-10,"Walk",1
"b3","0-0","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Brandon Webb","2%","60%","Intentional Walk",2004-07-10,"Walk",1
"b5","2-0","2","---","1,(0-0) X","","SFG","Barry Bonds","Brandon Webb","1%","79%","Single to LF (Line Drive)",2004-07-10,"Single",1
"b7","2-0","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Brandon Webb","1%","90%","Intentional Walk",2004-07-10,"Walk",1
"t1","0-0","2","1--","8,(3-2) CBFFBFBX","","SFG","Barry Bonds","Jason Jennings","3%","50%","Single to CF (Ground Ball); Snow to 3B",2004-07-15,"Single",1
"t3","1-2","0","1--","6,(3-2) BCFBB>S","O","SFG","Barry Bonds","Jason Jennings","-2%","41%","Strikeout Swinging, Snow Steals 2B",2004-07-15,"Strikeout",1
"t4","3-2","1","-23","4,(3-0) IIII","","SFG","Barry Bonds","Jason Jennings","1%","71%","Intentional Walk",2004-07-15,"Walk",1
"t6","3-4","2","1-3","4,(3-0) IIII","","SFG","Barry Bonds","Javier Lopez","4%","39%","Intentional Walk; Snow to 2B",2004-07-15,"Walk",1
"t8","3-4","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Tim Harikkala","2%","25%","Intentional Walk",2004-07-15,"Walk",1
"t9","7-4","2","-2-","6,(3-2) BBFFB.S","O","SFG","Barry Bonds","Shawn Chacon","-1%","95%","Strikeout Swinging",2004-07-15,"Strikeout",1
"t2","0-2","0","---","2,(1-0) BX","","SFG","Barry Bonds","Shawn Estes","-4%","65%","Single to CF (Line Drive)",2004-07-16,"Single",1
"t4","1-2","0","-2-","5,(3-1) BBCBX","O","SFG","Barry Bonds","Shawn Estes","2%","56%","Groundout: 1B-P; Feliz to 3B",2004-07-16,"Groundout",1
"t6","1-5","1","1--","1,(0-0) X","O","SFG","Barry Bonds","Shawn Estes","2%","92%","Groundout: 2B-1B (Short RF); Feliz to 2B",2004-07-16,"Groundout",1
"t8","1-7","1","-2-","6,(3-2) BBFBFX","O","SFG","Barry Bonds","Shawn Estes","1%","99%","Groundout: SS-1B; Feliz to 3B",2004-07-16,"Groundout",1
"t2","0-0","0","---","1,(0-0) X","O","SFG","Barry Bonds","Aaron Cook","-2%","48%","Groundout: 2B-1B",2004-07-17,"Groundout",1
"t4","1-0","1","--3","4,(3-0) IIII","","SFG","Barry Bonds","Aaron Cook","2%","68%","Intentional Walk",2004-07-17,"Walk",1
"t6","2-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Aaron Cook","1%","75%","Intentional Walk",2004-07-17,"Walk",1
"t8","2-0","1","12-","5,(3-1) BBBFX","RR","SFG","Barry Bonds","Javier Lopez","9%","96%","Double to RF (Line Drive to Deep RF); Tucker Scores; Snow Scores",2004-07-17,"Double",1
"t1","1-0","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Adam Bernero","-2%","38%","Intentional Walk",2004-07-18,"Walk",1
"t3","3-1","0","12-","3,(1-1) FBX","","SFG","Barry Bonds","Adam Bernero","-5%","18%","Single to RF (Line Drive); Tucker to 3B; Snow to 2B",2004-07-18,"Single",1
