"year","Player","school","conference","1B","BB","HBP","IBB","SB","CS"
2018,"Cannon, Cameron","Arizona","Pac-12",38,37,5,1,7,3
2018,"Fraizer, Matt","Arizona","Pac-12",37,25,2,0,3,1
2018,"Haug, Ryan","Arizona","Pac-12",25,19,14,0,2,1
2018,"Morimoto, Mitchell","Arizona","Pac-12",4,12,4,0,1,1
2018,"Paugh, Blake","Arizona","Pac-12",9,9,3,0,1,1
2018,"Rivas, Alfonso","Arizona","Pac-12",52,28,8,1,5,0
2018,"Romo, Seve","Arizona","Pac-12",12,3,1,0,1,0
2018,"Salazar, Cesar","Arizona","Pac-12",48,21,14,1,2,5
2018,"Stevenson, Cal","Arizona","Pac-12",41,35,6,1,8,5
2018,"Williams, Donta","Arizona","Pac-12",21,19,3,0,1,0
2019,"Blas, Jacob","Arizona","Pac-12",11,10,1,0,2,1
2019,"Boissiere, Branden","Arizona","Pac-12",28,17,1,0,0,1
2019,"Cannon, Cameron","Arizona","Pac-12",52,35,6,3,0,1
2019,"Dooney, Dayton","Arizona","Pac-12",28,28,0,0,2,1
2019,"Dyer, Matthew","Arizona","Pac-12",48,22,8,0,5,3
2019,"Fraizer, Matt","Arizona","Pac-12",26,6,1,0,5,1
2019,"Paugh, Blake","Arizona","Pac-12",6,13,4,0,0,1
2019,"Quintana, Nick","Arizona","Pac-12",43,45,6,3,3,0
2019,"Wells, Austin","Arizona","Pac-12",51,46,4,2,6,0
2019,"Williams, Donta","Arizona","Pac-12",36,34,12,0,7,3
2019,"Wylie, Justin","Arizona","Pac-12",19,26,2,0,1,1
2013,"Allen, Trever","Arizona St.","Pac-12",44,19,8,3,7,0
2013,"Benjamin, Michael","Arizona St.","Pac-12",51,10,5,0,4,5
2013,"Causey, Nathaniel","Arizona St.","Pac-12",24,28,3,1,1,0
2013,"Coffman, Kasey","Arizona St.","Pac-12",51,30,13,2,9,6
2013,"DiNatale, Dalton","Arizona St.","Pac-12",29,18,6,0,3,2
2013,"McDonald, James","Arizona St.","Pac-12",38,27,7,3,7,3
2013,"Peevyhouse, Jake","Arizona St.","Pac-12",28,23,8,1,3,0
2013,"Rossiter, Max","Arizona St.","Pac-12",39,23,8,0,2,1
2013,"Sewald, Johnny","Arizona St.","Pac-12",8,3,0,0,1,1
2013,"Stankiewicz, Drew","Arizona St.","Pac-12",49,20,3,0,7,5
2014,"Aboites, Jordan","Arizona St.","Pac-12",4,1,1,0,2,0
2014,"Allen, Trever","Arizona St.","Pac-12",32,12,9,0,2,3
2014,"Beall, Christopher","Arizona St.","Pac-12",31,6,1,0,1,2
2014,"Bilbrey, Kyle","Arizona St.","Pac-12",2,3,1,0,2,0
2014,"DiNatale, Dalton","Arizona St.","Pac-12",42,22,1,2,7,4
2014,"Esmay, Tucker","Arizona St.","Pac-12",28,5,4,0,3,1
2014,"Graybill, David","Arizona St.","Pac-12",7,2,1,0,2,1
2014,"Peevyhouse, Jake","Arizona St.","Pac-12",35,24,8,3,4,1
2014,"Serven, Brian","Arizona St.","Pac-12",30,20,10,1,1,1
2014,"Sewald, Johnny","Arizona St.","Pac-12",54,30,15,0,16,2
2014,"Stankiewicz, Drew","Arizona St.","Pac-12",43,25,2,2,10,3
2014,"Woodmansee, Colby","Arizona St.","Pac-12",11,6,2,0,1,1
2014,"Ybarra, RJ","Arizona St.","Pac-12",39,19,5,0,1,0
2015,"Aboites, Jordan","Arizona St.","Pac-12",14,0,1,0,0,1
2015,"Allen, Trever","Arizona St.","Pac-12",51,14,2,1,5,3
2015,"Bielek, Joey","Arizona St.","Pac-12",39,14,1,2,6,2
2015,"Cerbo, Zach","Arizona St.","Pac-12",15,7,2,0,1,0
2015,"DiNatale, Dalton","Arizona St.","Pac-12",12,4,0,0,1,1
2015,"Gerhart, Coltin","Arizona St.","Pac-12",5,4,2,0,1,1
2015,"Greer, David","Arizona St.","Pac-12",43,13,4,1,4,4
2015,"Peevyhouse, Jake","Arizona St.","Pac-12",39,29,2,3,2,5
2015,"Serven, Brian","Arizona St.","Pac-12",39,11,6,1,3,0
2015,"Sewald, Johnny","Arizona St.","Pac-12",58,35,11,0,21,10
2015,"Snow, Andrew","Arizona St.","Pac-12",33,10,7,0,1,4
2015,"Woodmansee, Colby","Arizona St.","Pac-12",50,20,0,2,2,3
2015,"Ybarra, RJ","Arizona St.","Pac-12",22,23,1,2,1,2
2016,"Aboites, Jordan","Arizona St.","Pac-12",12,8,1,0,2,1
2016,"Beall, Christopher","Arizona St.","Pac-12",6,1,0,0,1,0
2016,"Canning, Gage","Arizona St.","Pac-12",38,13,3,0,10,4
2016,"Greer, David","Arizona St.","Pac-12",44,38,3,5,4,3
2016,"Lillard, Ryan","Arizona St.","Pac-12",13,8,2,0,7,0
2016,"McCuin, Jeremy","Arizona St.","Pac-12",10,8,2,0,0,1
2016,"Serven, Brian","Arizona St.","Pac-12",45,17,5,0,1,1
2016,"Shaps, Andrew","Arizona St.","Pac-12",50,13,0,0,6,5
2016,"Snow, Andrew","Arizona St.","Pac-12",40,16,4,0,2,2
2016,"Williams, Daniel","Arizona St.","Pac-12",15,13,4,0,5,1
2016,"Williams, Tyler","Arizona St.","Pac-12",12,14,5,0,3,2
2016,"Woodmansee, Colby","Arizona St.","Pac-12",37,30,3,3,1,3
2016,"Zawada, Sebastian","Arizona St.","Pac-12",24,7,0,0,1,0
2017,"Aldrete, Carter","Arizona St.","Pac-12",39,12,0,0,2,1
2017,"Bishop, Hunter","Arizona St.","Pac-12",32,15,1,3,4,0
2017,"Canning, Gage","Arizona St.","Pac-12",48,12,1,3,9,6
2017,"Cerbo, Zach","Arizona St.","Pac-12",27,27,1,1,2,2
2017,"Denson, Myles","Arizona St.","Pac-12",12,5,0,0,0,1
2017,"Lane, Taylor","Arizona St.","Pac-12",32,12,1,0,5,2
2017,"Lillard, Ryan","Arizona St.","Pac-12",10,7,1,0,1,1
2017,"Lin, Lyle","Arizona St.","Pac-12",49,17,6,0,2,1
2017,"McCuin, Jeremy","Arizona St.","Pac-12",31,5,1,0,2,1
2017,"Shaps, Andrew","Arizona St.","Pac-12",29,14,2,0,7,5
2017,"Snow, Andrew","Arizona St.","Pac-12",24,13,3,0,0,3
2017,"Williams, Tyler","Arizona St.","Pac-12",11,11,3,0,7,0
2018,"Aldrete, Carter","Arizona St.","Pac-12",41,22,3,0,1,3
2018,"Bishop, Hunter","Arizona St.","Pac-12",24,18,4,2,4,4
2018,"Canning, Gage","Arizona St.","Pac-12",50,24,1,4,8,7
2018,"Jump, Hunter","Arizona St.","Pac-12",30,9,0,0,2,1
2018,"Lane, Taylor","Arizona St.","Pac-12",25,6,0,0,3,1
2018,"Lin, Lyle","Arizona St.","Pac-12",54,8,4,0,1,0
2018,"Swift, Drew","Arizona St.","Pac-12",29,24,4,0,3,3
2018,"Torkelson, Spencer","Arizona St.","Pac-12",29,38,9,3,4,2
2018,"Williams, Alika","Arizona St.","Pac-12",43,13,3,0,5,4
2018,"Workman, Gage","Arizona St.","Pac-12",28,13,4,0,3,1
2019,"Bishop, Hunter","Arizona St.","Pac-12",34,50,8,9,12,7
2019,"Garcia , Dusty","Arizona St.","Pac-12",4,7,0,0,4,2
2019,"Hauver, Trevor","Arizona St.","Pac-12",52,39,4,0,0,4
2019,"Swift, Drew","Arizona St.","Pac-12",33,28,1,0,1,1
2019,"Torkelson, Spencer","Arizona St.","Pac-12",45,41,3,4,1,2
2019,"Williams, Alika","Arizona St.","Pac-12",52,33,7,0,9,4
2019,"Workman, Gage","Arizona St.","Pac-12",49,30,3,3,9,3
2013,"Alcantara, Eric","Ark.-Pine Bluff","SWAC",2,1,1,0,2,0
2013,"Alcanter, Isias","Ark.-Pine Bluff","SWAC",53,12,16,1,7,2
2013,"Calhoun, Dylan","Ark.-Pine Bluff","SWAC",44,18,1,0,12,1
2013,"Campbell, Kirby","Ark.-Pine Bluff","SWAC",41,19,7,0,3,3
2013,"De Mera, Cody","Ark.-Pine Bluff","SWAC",44,17,8,0,9,2
2013,"Guzman, Wilton","Ark.-Pine Bluff","SWAC",4,5,0,0,1,0
2013,"Highsmith, Dwayne","Ark.-Pine Bluff","SWAC",27,22,9,0,10,5
2013,"Ludwig, Mike","Ark.-Pine Bluff","SWAC",9,2,2,0,2,0
2013,"Oertle, Tyler","Ark.-Pine Bluff","SWAC",21,12,5,0,6,2
2013,"Phillips, Patrick","Ark.-Pine Bluff","SWAC",27,16,12,0,1,6
2013,"Soto, Rafeal","Ark.-Pine Bluff","SWAC",12,9,3,0,2,1
2013,"Stehn, Warren","Ark.-Pine Bluff","SWAC",25,9,5,0,5,1
2013,"Whitney, Jacob","Ark.-Pine Bluff","SWAC",14,8,4,0,2,1
2013,"Wieland, Mike","Ark.-Pine Bluff","SWAC",24,27,16,1,8,0
2014,"Alcanter, Isias","Ark.-Pine Bluff","SWAC",45,17,12,2,3,3
2014,"Bruckshaw, Mitch","Ark.-Pine Bluff","SWAC",28,11,13,0,5,0
2014,"Campbell, Kirby","Ark.-Pine Bluff","SWAC",34,17,6,1,4,2
2014,"Cassidy, Joshua","Ark.-Pine Bluff","SWAC",26,13,7,1,5,1
2014,"Davis, Andre","Ark.-Pine Bluff","SWAC",45,17,4,1,3,1
2014,"Figueroa, Jerimiah","Ark.-Pine Bluff","SWAC",24,21,1,0,3,3
2014,"Gomez, Vladimir","Ark.-Pine Bluff","SWAC",24,10,0,0,4,3
2014,"Haas, Jordan","Ark.-Pine Bluff","SWAC",16,4,5,1,1,1
2014,"Hernandez, Jose","Ark.-Pine Bluff","SWAC",21,5,3,0,10,2
2014,"Ibrahim, Jason","Ark.-Pine Bluff","SWAC",3,5,1,0,0,1
2014,"Oertle, Tyler","Ark.-Pine Bluff","SWAC",21,7,8,0,4,1
2014,"Tillman, Rashawn","Ark.-Pine Bluff","SWAC",25,30,4,0,5,6
2014,"Wieland, Mike","Ark.-Pine Bluff","SWAC",24,27,10,0,6,3
2015,"Beer, Chris","Ark.-Pine Bluff","SWAC",4,5,0,0,1,0
2015,"Burns, Chris","Ark.-Pine Bluff","SWAC",25,12,1,0,1,2
2015,"Cassidy, Joshua","Ark.-Pine Bluff","SWAC",16,7,3,0,2,1
2015,"Colon, Roberto","Ark.-Pine Bluff","SWAC",12,11,1,0,2,2
2015,"Davis, Andre","Ark.-Pine Bluff","SWAC",27,15,6,2,0,1
2015,"Drury, Colin","Ark.-Pine Bluff","SWAC",12,6,2,0,1,1
2015,"Figueroa, Jerimiah","Ark.-Pine Bluff","SWAC",21,9,2,0,4,3
2015,"Gomez, Vladimir","Ark.-Pine Bluff","SWAC",29,10,3,1,1,2
2015,"Grier, Austin","Ark.-Pine Bluff","SWAC",3,2,2,0,0,2
2015,"Haas, Tommy","Ark.-Pine Bluff","SWAC",13,2,2,0,2,3
2015,"Hernandez, Jose","Ark.-Pine Bluff","SWAC",4,2,1,0,0,1
2015,"Hinkel, Westin","Ark.-Pine Bluff","SWAC",20,2,10,0,3,3
2015,"Tillman, Rashawn","Ark.-Pine Bluff","SWAC",29,11,3,0,7,2
2016,"Bradley, Michael","Ark.-Pine Bluff","SWAC",20,11,3,0,0,1
2016,"Brown, Dontrell","Ark.-Pine Bluff","SWAC",14,12,9,0,2,1
2016,"Burns, Chris","Ark.-Pine Bluff","SWAC",10,5,1,0,1,1
2016,"Colon, Roberto","Ark.-Pine Bluff","SWAC",34,6,2,0,4,1
2016,"Columbo, Jacob","Ark.-Pine Bluff","SWAC",29,2,3,0,1,1
2016,"Figueroa, Jerimiah","Ark.-Pine Bluff","SWAC",20,11,2,0,2,1
2016,"Haas, Tommy","Ark.-Pine Bluff","SWAC",12,8,11,0,3,1
2016,"Jackson, Jaylen","Ark.-Pine Bluff","SWAC",17,13,1,0,0,2
2016,"Jones, Julian","Ark.-Pine Bluff","SWAC",24,8,2,0,1,0
2016,"Knox, Jordan","Ark.-Pine Bluff","SWAC",36,19,6,0,12,4
2016,"Moore, Jaqueese","Ark.-Pine Bluff","SWAC",52,19,16,0,11,6
2016,"Parker, Jarficur","Ark.-Pine Bluff","SWAC",2,3,0,0,0,1
2016,"Perez, Aderly","Ark.-Pine Bluff","SWAC",39,10,4,0,4,2
2017,"Brown, Dontrell","Ark.-Pine Bluff","SWAC",11,17,8,0,3,1
2017,"Esparza, Sergio","Ark.-Pine Bluff","SWAC",40,12,2,0,6,2
2017,"Figueroa, Jerimiah","Ark.-Pine Bluff","SWAC",30,20,2,0,3,1
2017,"Henderson, Corey","Ark.-Pine Bluff","SWAC",22,7,4,0,1,1
2017,"Higgins, Kacy","Ark.-Pine Bluff","SWAC",1,1,0,0,2,1
2017,"Jackson, Jaylen","Ark.-Pine Bluff","SWAC",15,9,2,0,2,0
2017,"Jones, Julian","Ark.-Pine Bluff","SWAC",13,9,2,0,0,3
2017,"Knox, Jordan","Ark.-Pine Bluff","SWAC",29,16,6,0,19,3
2017,"Lopez, Bradley","Ark.-Pine Bluff","SWAC",16,7,8,0,2,3
2017,"Mallison, Ryan","Ark.-Pine Bluff","SWAC",4,4,1,0,0,1
2017,"Moore, Jaqueese","Ark.-Pine Bluff","SWAC",35,18,4,0,23,2
2017,"Perez, Aderly","Ark.-Pine Bluff","SWAC",25,19,4,0,8,1
2017,"Soriano, Juan","Ark.-Pine Bluff","SWAC",12,17,4,1,0,1
2017,"Williams, Joshua","Ark.-Pine Bluff","SWAC",14,7,2,0,1,0
2018,"Columbo, Jacob","Ark.-Pine Bluff","SWAC",19,6,4,0,6,2
2018,"Esparza, Sergio","Ark.-Pine Bluff","SWAC",35,14,4,2,6,7
2018,"Higgins, Kacy","Ark.-Pine Bluff","SWAC",12,3,2,0,2,3
2018,"Kreutzer, Nick","Ark.-Pine Bluff","SWAC",23,32,2,2,1,0
2018,"Lopez, Bradley","Ark.-Pine Bluff","SWAC",5,5,1,0,2,1
2018,"Magnuson, John","Ark.-Pine Bluff","SWAC",10,11,4,0,3,1
2018,"Mallison, Ryan","Ark.-Pine Bluff","SWAC",38,28,10,1,7,3
2018,"McDonald, Cutter","Ark.-Pine Bluff","SWAC",11,4,1,0,7,0
2018,"Parker, Jarficur","Ark.-Pine Bluff","SWAC",36,10,2,0,3,3
2018,"Sanchez, Ricardo","Ark.-Pine Bluff","SWAC",22,21,12,0,7,3
2018,"Soriano, Juan","Ark.-Pine Bluff","SWAC",30,13,3,0,1,1
2018,"Toth, Austin","Ark.-Pine Bluff","SWAC",5,2,2,0,2,2
2018,"White, Davion","Ark.-Pine Bluff","SWAC",4,1,0,0,0,2
2019,"Esparza, Sergio","Ark.-Pine Bluff","SWAC",18,13,6,0,1,4
2019,"Hence, Braelin","Ark.-Pine Bluff","SWAC",9,10,0,0,4,1
2019,"JR., Tyon","Ark.-Pine Bluff","SWAC",7,6,1,0,4,1
2019,"Kreutzer, Nick","Ark.-Pine Bluff","SWAC",36,26,6,6,4,3
2019,"Krzeminski, Austin","Ark.-Pine Bluff","SWAC",9,8,3,0,3,1
2019,"Mallison, Ryan","Ark.-Pine Bluff","SWAC",33,28,5,0,12,6
2019,"Parker, Jarficur","Ark.-Pine Bluff","SWAC",37,12,5,0,12,4
2019,"Robinson, Justin","Ark.-Pine Bluff","SWAC",33,14,0,0,24,3
2019,"Roesch, Bryce","Ark.-Pine Bluff","SWAC",27,16,2,0,6,1
2019,"Sanchez, Ricardo","Ark.-Pine Bluff","SWAC",27,16,7,0,9,2
2019,"Simon, Brandon","Ark.-Pine Bluff","SWAC",20,10,3,0,2,0
2019,"Sims, Larry","Ark.-Pine Bluff","SWAC",30,10,10,0,6,3
2019,"Szalkowski, Andrew","Ark.-Pine Bluff","SWAC",6,6,0,0,0,2
2019,"Toth, Austin","Ark.-Pine Bluff","SWAC",3,4,1,0,1,1
2019,"White, Davion","Ark.-Pine Bluff","SWAC",9,4,5,0,7,2
2013,"Anderson, Brian","Arkansas","SEC",47,41,7,2,6,1
2013,"Ficociello, Dominic","Arkansas","SEC",31,16,3,3,2,2
2013,"Fisher, Eric","Arkansas","SEC",24,10,1,0,2,1
2013,"Mahan, Jacob","Arkansas","SEC",43,26,6,0,1,1
2013,"McAfee, Brett","Arkansas","SEC",32,12,3,0,6,2
2013,"Morris, Jacob","Arkansas","SEC",12,16,3,0,8,1
2013,"Serrano, Joe","Arkansas","SEC",47,12,4,0,3,3
2013,"Spoon, Tyler","Arkansas","SEC",57,21,5,1,7,3
2013,"Vinson, Matt","Arkansas","SEC",48,31,0,0,8,1
2013,"Wise, Jake","Arkansas","SEC",31,25,3,0,3,2
2014,"Anderson, Brian","Arkansas","SEC",55,20,15,3,9,2
2014,"Benintendi, Andrew","Arkansas","SEC",52,24,10,0,17,4
2014,"Bernal, Michael","Arkansas","SEC",38,12,18,0,1,1
2014,"Eagan, Clark","Arkansas","SEC",30,16,7,0,4,1
2014,"Fisher, Eric","Arkansas","SEC",38,17,2,2,5,2
2014,"Rucker, Garrett","Arkansas","SEC",1,1,0,0,1,0
2014,"Serrano, Joe","Arkansas","SEC",52,29,2,0,8,0
2014,"Spoon, Tyler","Arkansas","SEC",43,29,7,4,5,2
2014,"Wernes, Bobby","Arkansas","SEC",37,20,6,1,1,3
2014,"Wilkerson, Krisjon","Arkansas","SEC",20,8,7,0,1,0
2014,"Wise, Jake","Arkansas","SEC",19,23,7,2,4,1
2015,"Benintendi, Andrew","Arkansas","SEC",50,50,5,5,24,4
2015,"Bernal, Michael","Arkansas","SEC",38,29,10,1,2,5
2015,"Eagan, Clark","Arkansas","SEC",47,21,8,0,2,4
2015,"Gosser, Alex","Arkansas","SEC",10,5,0,0,0,1
2015,"McAfee, Brett","Arkansas","SEC",37,11,3,0,3,1
2015,"Nomura, Rick","Arkansas","SEC",40,20,4,0,3,2
2015,"Serrano, Joe","Arkansas","SEC",45,34,2,0,6,2
2015,"Shaddy, Carson","Arkansas","SEC",21,9,5,0,1,1
2015,"Spanberger, Chad","Arkansas","SEC",20,12,2,0,1,0
2015,"Spoon, Tyler","Arkansas","SEC",53,13,6,0,10,2
2015,"Wernes, Bobby","Arkansas","SEC",47,28,8,2,3,1
2016,"Arledge, Jake","Arkansas","SEC",15,21,6,0,6,0
2016,"Bernal, Michael","Arkansas","SEC",37,14,6,1,0,1
2016,"Bonfield, Luke","Arkansas","SEC",33,26,4,0,0,2
2016,"Catron, Austin","Arkansas","SEC",18,7,1,0,1,1
2016,"Cole, Eric","Arkansas","SEC",24,13,1,0,2,0
2016,"Eagan, Clark","Arkansas","SEC",50,22,6,2,5,1
2016,"Gassaway, Cullen","Arkansas","SEC",33,17,1,1,2,0
2016,"Koch, Grant","Arkansas","SEC",13,11,2,0,0,1
2016,"Nomura, Rick","Arkansas","SEC",34,27,2,0,6,2
2016,"Pennell, Tucker","Arkansas","SEC",24,12,3,0,2,1
2016,"Scroggins, Cody","Arkansas","SEC",10,6,0,0,4,0
2016,"Shaddy, Carson","Arkansas","SEC",48,23,3,1,5,4
2016,"Simms, Darien","Arkansas","SEC",6,3,2,0,6,0
2016,"Spanberger, Chad","Arkansas","SEC",13,13,2,1,0,1
2017,"Arledge, Jake","Arkansas","SEC",52,33,11,1,7,3
2017,"Biggers, Jax","Arkansas","SEC",50,30,3,0,3,1
2017,"Bonfield, Luke","Arkansas","SEC",54,30,2,2,1,2
2017,"Cole, Eric","Arkansas","SEC",41,19,3,0,3,2
2017,"Fletcher, Dominic","Arkansas","SEC",44,17,7,2,1,1
2017,"Kenley, Jack","Arkansas","SEC",3,2,4,0,1,1
2017,"Koch, Grant","Arkansas","SEC",34,33,2,1,1,1
2017,"Lee, Evan","Arkansas","SEC",11,7,2,0,1,0
2017,"McFarland, Jordan","Arkansas","SEC",17,9,2,0,1,0
2017,"Shaddy, Carson","Arkansas","SEC",42,26,13,2,6,5
2017,"Spanberger, Chad","Arkansas","SEC",39,26,8,6,2,0
2017,"Wilson, Hunter","Arkansas","SEC",9,3,1,0,0,1
2018,"Biggers, Jax","Arkansas","SEC",45,38,3,0,7,1
2018,"Bonfield, Luke","Arkansas","SEC",43,42,8,1,1,0
2018,"Cole, Eric","Arkansas","SEC",59,42,4,0,4,2
2018,"Fletcher, Dominic","Arkansas","SEC",50,20,3,1,1,3
2018,"Gates, Jared","Arkansas","SEC",20,17,6,0,2,0
2018,"Kenley, Jack","Arkansas","SEC",10,13,3,0,1,0
2018,"Kjerstad, Heston","Arkansas","SEC",57,26,18,2,3,0
2018,"Koch, Grant","Arkansas","SEC",39,38,2,1,4,1
2018,"Lee, Evan","Arkansas","SEC",10,8,0,0,1,0
2018,"Martin, Casey","Arkansas","SEC",60,27,6,0,8,1
2018,"McFarland, Jordan","Arkansas","SEC",29,13,2,0,0,2
2018,"Shaddy, Carson","Arkansas","SEC",38,27,9,2,4,2
2018,"Turney, Cole","Arkansas","SEC",0,2,0,0,1,0
2018,"Wilson, Hunter","Arkansas","SEC",10,4,2,0,2,0
2019,"Ezell, Trevor","Arkansas","SEC",47,47,4,0,19,1
2019,"Fletcher, Dominic","Arkansas","SEC",48,28,5,1,2,1
2019,"Franklin, Christian","Arkansas","SEC",40,24,4,0,12,3
2019,"Goodheart, Matt","Arkansas","SEC",47,34,2,1,5,2
2019,"Kenley, Jack","Arkansas","SEC",46,42,9,1,8,3
2019,"Kjerstad, Heston","Arkansas","SEC",56,21,12,3,5,0
2019,"Martin, Casey","Arkansas","SEC",41,30,5,2,10,2
2019,"McFarland, Jordan","Arkansas","SEC",12,6,3,0,2,0
2019,"Nesbit, Jacob","Arkansas","SEC",41,26,3,0,7,3
2019,"Opitz, Casey","Arkansas","SEC",37,38,2,2,7,0
2019,"Washington, Jr., Curtis","Arkansas","SEC",7,7,1,0,4,1
2013,"Baker, Austin","Arkansas St.","Sun Belt",15,18,1,0,0,1
2013,"Brown, Kaleb","Arkansas St.","Sun Belt",20,3,4,0,3,1
2013,"Emery, Ryan","Arkansas St.","Sun Belt",47,45,5,1,4,1
2013,"Fitzpatrick, Kevin","Arkansas St.","Sun Belt",29,5,2,0,5,2
2013,"George, Zach","Arkansas St.","Sun Belt",7,11,2,0,1,1
2013,"Johnson, Claude","Arkansas St.","Sun Belt",38,23,5,3,0,1
2013,"Jones, Dustin","Arkansas St.","Sun Belt",38,18,5,0,6,0
2013,"Massanelli, Collin","Arkansas St.","Sun Belt",38,22,6,1,5,2
2013,"Potts, Alex","Arkansas St.","Sun Belt",41,27,7,0,1,0
2013,"Uxa, Logan","Arkansas St.","Sun Belt",43,36,7,4,3,2
2014,"Baker, Austin","Arkansas St.","Sun Belt",37,40,8,4,12,2
2014,"Birgineske, Derek","Arkansas St.","Sun Belt",23,14,5,0,2,0
2014,"Burgess, Matt","Arkansas St.","Sun Belt",55,29,3,0,2,0
2014,"Feddersen, Lucas","Arkansas St.","Sun Belt",41,12,3,0,10,2
2014,"Fitzpatrick, Kevin","Arkansas St.","Sun Belt",8,5,3,0,4,0
2014,"George, Zach","Arkansas St.","Sun Belt",9,10,2,0,3,0
2014,"Jones, Dustin","Arkansas St.","Sun Belt",29,22,13,0,7,2
2014,"Levy, Stuart","Arkansas St.","Sun Belt",38,27,6,2,2,3
2014,"Maggio, Zach","Arkansas St.","Sun Belt",53,23,14,0,9,5
2014,"Massanelli, Collin","Arkansas St.","Sun Belt",15,11,3,0,1,1
2014,"Michelotti, Ty","Arkansas St.","Sun Belt",23,6,0,0,4,0
2014,"Ring, Tanner","Arkansas St.","Sun Belt",13,4,3,0,2,1
2014,"Schrimpf, Joe","Arkansas St.","Sun Belt",28,15,9,1,4,1
2014,"Wilcoxson, Eric","Arkansas St.","Sun Belt",11,26,6,0,1,4
2015,"Baker, Austin","Arkansas St.","Sun Belt",47,31,6,0,7,3
2015,"Brown, Jeremy","Arkansas St.","Sun Belt",26,23,11,0,2,2
2015,"Feddersen, Lucas","Arkansas St.","Sun Belt",29,6,5,0,7,0
2015,"George, Zach","Arkansas St.","Sun Belt",55,52,16,4,9,4
2015,"Levy, Stuart","Arkansas St.","Sun Belt",31,17,15,1,1,1
2015,"Massanelli, Collin","Arkansas St.","Sun Belt",17,15,4,0,2,0
2015,"Michelotti, Ty","Arkansas St.","Sun Belt",5,4,1,0,1,1
2015,"Ring, Tanner","Arkansas St.","Sun Belt",35,17,10,1,7,4
2015,"Schrimpf, Joe","Arkansas St.","Sun Belt",36,27,12,0,4,1
2015,"Seldomridge, Tim","Arkansas St.","Sun Belt",3,1,0,0,1,0
2015,"White, Ty","Arkansas St.","Sun Belt",52,23,3,1,12,3
2016,"Bakamus, Jake","Arkansas St.","Sun Belt",23,22,21,0,7,1
2016,"Baker, Austin","Arkansas St.","Sun Belt",18,13,7,1,2,1
2016,"Brown, Jeremy","Arkansas St.","Sun Belt",40,25,13,0,1,0
2016,"Lambert, Neil","Arkansas St.","Sun Belt",8,5,2,0,2,0
2016,"Ortiz, Tony","Arkansas St.","Sun Belt",21,22,5,0,0,1
2016,"Ring, Tanner","Arkansas St.","Sun Belt",44,9,3,0,8,1
2016,"Rucker, Garrett","Arkansas St.","Sun Belt",42,16,12,1,10,1
2016,"Seldomridge, Tim","Arkansas St.","Sun Belt",9,4,3,0,6,0
2016,"White, Ty","Arkansas St.","Sun Belt",63,22,7,0,12,3
2017,"Bakamus, Jake","Arkansas St.","Sun Belt",33,28,24,1,9,4
2017,"Birgineske, Derek","Arkansas St.","Sun Belt",14,6,0,1,1,0
2017,"Brown, Jeremy","Arkansas St.","Sun Belt",34,27,14,0,1,1
2017,"Felix, Justin","Arkansas St.","Sun Belt",26,35,9,1,2,0
2017,"Hawkins, Grant","Arkansas St.","Sun Belt",40,36,3,0,19,3
2017,"Howard, Alex","Arkansas St.","Sun Belt",34,13,10,0,6,2
2017,"Johnson, Tobias","Arkansas St.","Sun Belt",10,7,3,1,2,0
2017,"Rucker, Garrett","Arkansas St.","Sun Belt",38,33,7,1,11,3
2017,"Schrimpf, Joe","Arkansas St.","Sun Belt",42,34,14,0,1,0
2017,"Seldomridge, Tim","Arkansas St.","Sun Belt",3,4,0,0,1,0
2017,"Tipton, Drew","Arkansas St.","Sun Belt",28,16,11,0,7,1
2017,"Vaughan, Casey","Arkansas St.","Sun Belt",6,4,1,0,2,2
2018,"Andersen, Logan","Arkansas St.","Sun Belt",16,9,1,1,2,1
2018,"Brown, Jeremy","Arkansas St.","Sun Belt",36,21,5,0,1,0
2018,"Hawkins, Grant","Arkansas St.","Sun Belt",32,37,14,0,10,4
2018,"Jablonski, Jacob","Arkansas St.","Sun Belt",13,17,2,0,1,1
2018,"Johnson, Tobias","Arkansas St.","Sun Belt",27,15,10,2,1,0
2018,"Leggo, Andrew","Arkansas St.","Sun Belt",9,7,6,0,0,1
2018,"Tipton, Drew","Arkansas St.","Sun Belt",28,20,7,0,8,1
2018,"Vaughan, Casey","Arkansas St.","Sun Belt",29,15,8,0,2,1
2018,"Wynn, Blake","Arkansas St.","Sun Belt",5,2,1,0,0,1
2019,"Davis, Eli","Arkansas St.","Sun Belt",15,14,1,0,4,1
2019,"Howard, Alex","Arkansas St.","Sun Belt",26,22,18,0,4,1
2019,"Jablonski, Jacob","Arkansas St.","Sun Belt",32,31,4,1,3,1
2019,"Leggo, Andrew","Arkansas St.","Sun Belt",5,12,1,0,1,0
2019,"Reid, Karsen","Arkansas St.","Sun Belt",4,6,3,0,1,1
2019,"Tipton, Drew","Arkansas St.","Sun Belt",48,37,6,0,27,1
2019,"Zimmerman, Will","Arkansas St.","Sun Belt",13,12,3,0,4,3
2013,"Cooke, Dakari","Army West Point","Patriot",6,10,0,0,4,1
2013,"Cortes, Daniel","Army West Point","Patriot",10,18,1,1,4,0
2013,"Crucitti, Jon","Army West Point","Patriot",42,37,15,0,16,4
2013,"Earls, Harold","Army West Point","Patriot",34,26,8,0,15,1
