"year","Player","school","conference","1B","BB","HBP","IBB","SB","CS"
2018,"Boudreaux, Cam","A&M-Corpus Christi","Southland",3,8,0,0,1,0
2018,"Burts, Itchy","A&M-Corpus Christi","Southland",46,16,2,2,7,3
2018,"DiNicola, Harrison","A&M-Corpus Christi","Southland",45,32,4,1,7,2
2018,"Jeffries, Thomas","A&M-Corpus Christi","Southland",35,16,0,1,7,4
2018,"Marbach, Luke","A&M-Corpus Christi","Southland",17,20,4,0,2,1
2018,"Martinez, Andriud","A&M-Corpus Christi","Southland",43,13,3,0,2,1
2018,"Osborn, Drake","A&M-Corpus Christi","Southland",29,10,3,0,3,1
2018,"Owens, Jackson","A&M-Corpus Christi","Southland",39,19,13,1,12,2
2018,"Ruiz, RJ","A&M-Corpus Christi","Southland",20,17,7,0,5,4
2018,"Sanchez Jr., Enrique","A&M-Corpus Christi","Southland",47,11,0,0,1,0
2018,"Stark, Dalton","A&M-Corpus Christi","Southland",29,23,1,1,6,2
2019,"Anderson, Nick","A&M-Corpus Christi","Southland",49,25,11,0,7,7
2019,"Beard, Trevor","A&M-Corpus Christi","Southland",16,15,2,0,1,1
2019,"Burts, Itchy","A&M-Corpus Christi","Southland",61,20,3,1,10,4
2019,"Fluta, Cole","A&M-Corpus Christi","Southland",24,12,0,0,2,1
2019,"Jeffries, Thomas","A&M-Corpus Christi","Southland",39,8,2,0,7,2
2019,"Marbach, Luke","A&M-Corpus Christi","Southland",33,21,12,0,3,2
2019,"Martinez, Andriud","A&M-Corpus Christi","Southland",10,4,1,0,1,0
2019,"Mendoza, Tyler","A&M-Corpus Christi","Southland",3,1,0,0,2,0
2019,"Osborn, Drake","A&M-Corpus Christi","Southland",25,9,3,0,2,2
2019,"Rivera-Chijin, Steven","A&M-Corpus Christi","Southland",29,12,7,0,6,2
2019,"Sanchez Jr., Enrique","A&M-Corpus Christi","Southland",67,24,6,2,8,2
2019,"Taylor, Justin","A&M-Corpus Christi","Southland",4,4,1,0,1,0
2019,"Werner, Joey","A&M-Corpus Christi","Southland",18,10,7,1,1,2
2019,"Williams, Mike","A&M-Corpus Christi","Southland",45,16,1,0,4,3
2014,"Altimont, Chris","Abilene Christian","Southland",4,6,0,0,1,0
2014,"Beasley, Heath","Abilene Christian","Southland",11,9,2,0,0,1
2014,"Buhner, Gunnar","Abilene Christian","Southland",36,17,3,0,2,3
2014,"Crippen, Russell","Abilene Christian","Southland",19,10,4,0,5,0
2014,"Draper, Aaron","Abilene Christian","Southland",50,13,2,0,2,2
2014,"Eager, Tyler","Abilene Christian","Southland",49,24,10,1,6,4
2014,"Forrester, Jordan","Abilene Christian","Southland",19,8,4,0,7,4
2014,"Giusti, Kyle","Abilene Christian","Southland",23,13,5,0,5,0
2014,"Grudzielanek, Brandon","Abilene Christian","Southland",63,13,0,2,7,6
2014,"Hall, Colton","Abilene Christian","Southland",28,23,4,1,4,4
2014,"Litterer, Emil","Abilene Christian","Southland",23,4,1,0,3,2
2014,"Messman, Connor","Abilene Christian","Southland",9,10,2,0,1,4
2014,"Spivey, Seth","Abilene Christian","Southland",48,21,14,1,10,4
2014,"Sterne, Cameron","Abilene Christian","Southland",1,1,0,0,1,0
2014,"Waters, Taylor","Abilene Christian","Southland",12,6,1,0,3,0
2015,"Carroll, Kyle","Abilene Christian","Southland",27,24,8,0,1,3
2015,"Carter, Marcelle","Abilene Christian","Southland",28,7,2,0,2,2
2015,"Copeland, Alex","Abilene Christian","Southland",35,11,7,1,2,0
2015,"Crippen, Russell","Abilene Christian","Southland",43,15,3,0,10,3
2015,"Draper, Aaron","Abilene Christian","Southland",56,14,4,0,7,4
2015,"Eager, Tyler","Abilene Christian","Southland",48,22,4,4,10,3
2015,"Forrester, Jordan","Abilene Christian","Southland",13,5,1,0,7,0
2015,"Gomez, Brayden","Abilene Christian","Southland",24,10,2,0,2,1
2015,"Hale, Garrett","Abilene Christian","Southland",1,0,2,0,0,1
2015,"Hall, Colton","Abilene Christian","Southland",36,9,2,0,7,2
2015,"Huson, Cody","Abilene Christian","Southland",3,4,0,0,2,0
2015,"Spracklen, Mason","Abilene Christian","Southland",10,1,3,0,2,0
2016,"Altimont, Chris","Abilene Christian","Southland",4,4,0,0,2,2
2016,"Beasley, Heath","Abilene Christian","Southland",28,3,3,1,2,2
2016,"Copeland, Alex","Abilene Christian","Southland",29,12,6,0,1,1
2016,"Crippen, Russell","Abilene Christian","Southland",37,14,2,1,7,3
2016,"DeVries, Dalton","Abilene Christian","Southland",8,2,0,0,1,0
2016,"Draper, Aaron","Abilene Christian","Southland",38,15,2,0,8,6
2016,"Evans, Gunny","Abilene Christian","Southland",2,0,0,0,1,1
2016,"Harris, Willie","Abilene Christian","Southland",19,7,0,0,9,2
2016,"Hays, Hunter","Abilene Christian","Southland",9,6,1,0,2,1
2016,"Markwardt, Hunter","Abilene Christian","Southland",29,17,5,0,22,2
2016,"Pearson, Mark","Abilene Christian","Southland",42,7,1,0,6,2
2016,"Ruot, David","Abilene Christian","Southland",18,6,0,0,1,1
2016,"Scott, Derek","Abilene Christian","Southland",11,8,2,0,5,0
2016,"Wilks, Braxton","Abilene Christian","Southland",24,12,0,0,0,2
2017,"Bourland, Lane","Abilene Christian","Southland",9,3,0,0,0,1
2017,"Claborn, Koby","Abilene Christian","Southland",35,23,0,0,1,3
2017,"Crippen, Russell","Abilene Christian","Southland",43,19,10,3,6,2
2017,"Dominguez, Anthony","Abilene Christian","Southland",38,18,1,0,2,0
2017,"Draper, Aaron","Abilene Christian","Southland",31,18,0,0,5,2
2017,"Farkas, Dalon","Abilene Christian","Southland",35,8,0,0,4,0
2017,"Lewis, Bradley","Abilene Christian","Southland",8,4,0,0,1,1
2017,"Pearson, Mark","Abilene Christian","Southland",33,12,4,0,2,3
2017,"Scott, Derek","Abilene Christian","Southland",49,15,4,1,18,5
2017,"Solomon, Cole","Abilene Christian","Southland",20,25,4,1,5,6
2017,"Trevino, Luis","Abilene Christian","Southland",59,18,4,1,1,2
