year,division,Player,Jersey,school,conference,Yr,Pos,GP,App,GS,ERA,IP,H.A,R.A,ER,BB.A,SO,SHO,BF,P.OAB,2B.A,3B.A,Bk,HR.A,WP,HB,IBB.A,IR,IRS,SHA,SFA,GO,FO,W,L,SV,KL,teamid,player_id,player_url,SO_PCT,BB_PCT,SO_BB_Ratio,BAA,OBPA,SLGA,OPSA,conference_id
2014,1,"Herb, Tyler",27,Coastal Carolina,Big South,Sr,P,16,15,15,3.53,97,101,51,38,41,68,0,434,372,11,1,0,2,17,16,0,0,0,4,1,115,85,7,6,0,24,149,1199945,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1199945,0.157,0.094,1.659,0.272,0.367,0.323,0.69,826
2014,1,"Muck, Ronnie",45,Illinois,Big Ten,Sr,P,21,21,0,3.38,32,22,14,12,14,27,0,133,112,7,0,2,1,2,3,2,13,1,4,0,48,15,1,4,3,9,301,1216441,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1216441,0.203,0.105,1.929,0.196,0.302,0.286,0.588,827
2015,1,"Mitchell, Connor",40,Butler,Big East,Fr,P,14,14,8,5.59,29,38,20,18,17,21,0,142,115,5,0,0,2,4,5,0,6,5,5,0,30,27,1,2,0,6,87,1638927,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1638927,0.148,0.12,1.235,0.33,0.438,0.426,0.864,30184
2019,1,"Walsh, Joey",43,Boston College,ACC,So,P,29,29,5,6.35,56.2,66,48,40,31,49,0,273,228,12,1,0,2,6,8,3,26,6,4,2,56,57,5,6,2,10,67,1876532,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1876532,0.179,0.114,1.581,0.289,0.39,0.377,0.767,821
2013,1,"Winkelman, Mark",33,Creighton,MVC,Sr,P,31,31,1,4.7,53.2,61,31,28,19,31,0,229,206,10,2,0,4,4,0,2,42,19,3,1,67,49,6,0,1,10,169,1087863,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1087863,0.135,0.083,1.632,0.296,0.354,0.422,0.776,884
2016,1,"Metz, Robbie",20,George Washington,Atlantic 10,So,INF,57,9,7,5.97,31.2,47,22,21,11,14,0,147,131,6,1,0,0,0,1,1,2,1,2,2,35,38,2,5,0,6,249,1637922,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1637922,0.095,0.075,1.273,0.359,0.407,0.42,0.827,820
2016,1,"Scrubb, Andre",20,High Point,Big South,Jr,P,14,14,14,4.86,74,67,47,40,54,94,0,343,283,13,1,0,6,15,3,0,0,0,2,1,66,50,8,6,0,24,19651,1531367,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1531367,0.274,0.157,1.741,0.237,0.364,0.353,0.717,826
2013,1,"Jones, Nate",42,Wake Forest,ACC,Jr,P,20,20,0,5.45,39.2,45,27,24,16,24,0,181,159,14,1,0,5,1,3,1,13,7,1,2,52,35,2,1,2,8,749,1208030,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1208030,0.133,0.088,1.5,0.283,0.356,0.478,0.834,821
2017,1,"Smith, Scott",18,Savannah St.,MEAC,So,P,13,13,6,7.07,42,61,44,33,19,22,0,212,177,5,1,0,3,6,7,0,6,6,4,5,55,42,2,5,1,6,632,1762495,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1762495,0.104,0.09,1.158,0.345,0.418,0.435,0.853,876
2018,1,"Shileikis, Brandon",34,Quinnipiac,MAAC,Sr,P,17,15,14,4.22,85.1,107,52,40,14,69,2,384,356,19,1,1,5,1,8,0,0,0,5,1,89,84,5,6,0,8,562,1882964,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1882964,0.18,0.036,4.929,0.301,0.34,0.402,0.742,871
2015,1,"Wilcox, Kyle",15,Bryant,NEC,Jr,P,15,15,14,3.24,80.2,61,36,29,38,50,0,346,294,8,1,0,0,15,5,0,1,1,5,3,111,72,7,3,0,16,81,1419887,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1419887,0.145,0.11,1.316,0.207,0.306,0.241,0.547,846
2015,1,"Contento, Ben",16,St. Bonaventure,Atlantic 10,Fr,P,17,17,1,4.45,32.1,31,16,16,19,26,0,151,119,5,0,0,2,2,8,2,4,1,2,3,24,42,0,3,0,8,596,1666033,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1666033,0.172,0.126,1.368,0.261,0.389,0.353,0.742,820
2017,1,"Anderson, Ryan",29,Florida A&M,MEAC,Jr,P,16,16,16,3.55,91.1,101,49,36,24,56,0,398,350,10,3,1,4,13,9,0,0,0,10,5,108,89,4,3,0,13,228,1652790,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652790,0.141,0.06,2.333,0.289,0.345,0.369,0.714,876
2015,1,"Moseley, Ryan",44,Texas Tech,Big 12,So,P,14,13,12,3.46,65,56,34,25,30,54,0,296,241,6,1,1,0,8,15,0,0,0,8,2,108,26,4,6,0,12,700,1530797,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1530797,0.182,0.101,1.8,0.232,0.351,0.266,0.617,25354
2019,1,"Fasching, Jeff",41,Minnesota,Big Ten,Sr,P,21,21,0,1.53,29.1,25,6,5,17,32,0,129,109,7,0,1,2,2,2,0,19,9,0,1,19,33,1,0,0,10,428,1637963,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1637963,0.248,0.132,1.882,0.229,0.341,0.349,0.69,827
2013,1,"Thene, Brian",25,Miami (OH),MAC,So,P,10,10,7,4.5,36,34,25,18,20,18,0,164,139,7,0,4,1,5,0,0,2,2,2,3,31,54,1,3,0,11,414,1323212,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1323212,0.11,0.122,0.9,0.245,0.333,0.317,0.65,875
2017,1,"Cleary, Colton",44,Kentucky,SEC,Sr,P,24,24,0,5.86,27.2,31,19,18,10,29,0,126,111,6,0,0,5,3,5,0,17,8,0,0,23,27,1,0,2,8,334,1887516,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1887516,0.23,0.079,2.9,0.279,0.365,0.468,0.833,911
2013,1,"Erwin, Zack",33,Clemson,ACC,Fr,P,22,22,6,3.45,60,53,27,23,20,32,0,253,214,14,0,1,2,2,5,0,15,6,10,4,68,72,5,2,2,11,147,1435672,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1435672,0.126,0.079,1.6,0.248,0.321,0.341,0.662,821
2018,1,"Strong, Alan",16,UNLV,Mountain West,Sr,P,15,15,15,3.9,90,104,42,39,22,86,0,389,355,24,6,0,8,3,5,0,0,0,3,4,69,98,7,3,0,27,465,1872216,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1872216,0.221,0.057,3.909,0.293,0.339,0.462,0.801,5486
2016,1,"Kay, Anthony",18,UConn,AAC,Jr,P,17,17,17,2.65,119,99,41,35,37,111,0,490,443,22,0,1,12,7,4,0,0,0,4,2,118,111,9,2,0,44,164,1540617,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1540617,0.227,0.076,3,0.223,0.288,0.354,0.642,823
2014,1,"Mawson, Zach",12,Rider,MAAC,Jr,P,16,12,12,4.76,68,66,45,36,29,40,1,300,255,13,4,0,5,5,3,2,0,0,7,5,63,92,5,6,0,11,576,1315481,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1315481,0.133,0.097,1.379,0.259,0.336,0.4,0.736,871
2019,1,"Cook, Holden",46,Eastern Mich.,MAC,So,P,18,18,7,7.41,51,70,46,42,35,44,0,262,216,11,3,0,5,9,5,0,7,1,4,2,47,54,1,6,1,15,204,2127099,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2127099,0.168,0.134,1.257,0.324,0.426,0.472,0.898,875
2016,1,"Greene, Will",26,N.C. A&T,MEAC,Jr,P,17,17,11,7.63,61.1,69,63,52,40,51,0,298,245,13,6,1,12,4,7,2,4,1,2,4,47,75,1,9,1,21,488,1772246,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1772246,0.171,0.134,1.275,0.282,0.392,0.531,0.923,876
2013,1,"Brown, Shane",21,Alcorn,SWAC,Fr,OF,35,12,2,7.86,26.1,31,25,23,31,10,0,144,102,6,2,1,2,5,4,0,20,14,1,6,17,45,0,2,0,5,17,1438993,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1438993,0.069,0.215,0.323,0.304,0.462,0.461,0.923,916
2015,1,"Jaquish, Justin",18,Milwaukee,Horizon,Sr,P,23,23,0,4.11,30.2,38,24,14,16,17,0,149,125,7,0,0,2,1,1,2,15,8,2,5,33,37,3,3,2,8,797,1303375,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1303375,0.114,0.107,1.062,0.304,0.374,0.408,0.782,881
2013,1,"Chapman, Josh",38,Utah,Pac-12,Jr,P,19,19,0,2.84,31.2,34,15,10,13,30,0,145,123,4,1,0,1,1,2,2,13,6,6,1,43,21,3,2,2,8,732,1218712,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1218712,0.207,0.09,2.308,0.276,0.353,0.35,0.703,905
2015,1,"Vinson, Andrew",10,Texas A&M,SEC,Jr,P,35,35,2,2.12,63.2,49,17,15,14,64,0,252,226,7,0,1,6,4,5,0,30,8,4,3,59,56,5,2,5,10,697,1425299,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1425299,0.254,0.056,4.571,0.217,0.274,0.327,0.601,911
2016,1,"Robles, Alex",5,Austin Peay,OVC,Jr,INF,55,16,15,4.67,98.1,103,55,51,32,89,0,432,386,26,3,0,6,5,11,1,0,0,3,0,101,89,10,6,0,26,43,1529759,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1529759,0.206,0.074,2.781,0.267,0.34,0.396,0.736,902
2018,1,"Fletcher, Charlie",24,William & Mary,CAA,Sr,C,29,29,0,6.21,29,37,21,20,17,21,0,140,114,7,2,1,3,2,3,4,22,7,5,1,31,29,0,4,1,3,786,1649926,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1649926,0.15,0.121,1.235,0.325,0.422,0.5,0.922,837
2015,1,"Harris, Josh",30,Villanova,Big East,Sr,P,13,13,13,6.02,64.1,83,49,43,35,38,0,308,263,12,4,0,4,9,3,0,0,0,4,2,57,85,3,4,0,16,739,1322625,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1322625,0.123,0.114,1.086,0.316,0.399,0.437,0.836,30184
2018,1,"Erla, Mason",30,Michigan St.,Big Ten,So,P,15,15,15,3.73,79.2,63,37,33,40,57,0,345,292,16,1,1,7,4,5,1,0,0,5,3,70,102,5,4,0,18,416,1870334,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1870334,0.165,0.116,1.425,0.216,0.318,0.349,0.667,827
2013,1,"Green, Nick",33,Utah,Pac-12,Jr,P,28,28,0,2.17,29,24,14,7,12,28,0,124,99,5,1,0,0,2,1,5,35,9,7,5,25,30,0,2,2,7,732,1092379,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1092379,0.226,0.097,2.333,0.242,0.316,0.313,0.629,905
2013,1,"D'Errico, David",6,Hofstra,CAA,Sr,P,11,11,10,5.83,46.1,62,43,30,14,22,0,220,198,8,7,1,1,2,5,0,0,0,0,3,68,43,3,4,0,9,283,1093578,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1093578,0.1,0.064,1.571,0.313,0.368,0.439,0.807,837
2014,1,"Hunt, Dustin",45,Northeastern,CAA,Fr,P,14,14,12,2.5,82.2,67,24,23,30,73,0,340,296,13,1,1,4,1,4,0,3,2,8,2,75,86,6,1,0,14,500,1532101,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1532101,0.215,0.088,2.433,0.226,0.304,0.318,0.622,837
2018,1,"Staats, Kyle",38,VMI,SoCon,Sr,P,16,16,10,7.26,53.1,72,48,43,26,37,0,258,226,8,0,1,11,3,2,0,6,2,2,2,41,73,4,4,0,4,741,1659193,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1659193,0.143,0.101,1.423,0.319,0.391,0.5,0.891,912
2017,1,"Daniels, Brett",19,North Carolina,ACC,Jr,P,27,27,0,2.68,40.1,34,14,12,20,33,0,176,149,5,2,0,2,2,2,0,26,14,3,2,39,45,5,0,0,5,457,1651494,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1651494,0.188,0.114,1.65,0.228,0.324,0.329,0.653,821
2019,1,"Gregory, Hunter",33,Old Dominion,C-USA,So,P,28,28,1,4.05,60,61,31,27,24,85,0,265,233,13,0,1,6,11,4,3,23,7,2,2,30,58,7,3,2,26,523,1997103,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997103,0.321,0.091,3.542,0.262,0.338,0.395,0.733,24312
2017,1,"McDonald, Cullen",40,Northwestern St.,Southland,So,P,15,15,6,4.08,57.1,54,29,26,14,25,0,235,217,11,0,0,5,6,1,0,1,1,1,2,53,85,2,3,0,8,508,1766677,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1766677,0.106,0.06,1.786,0.249,0.295,0.369,0.664,914
2013,1,"Fisher, Jared",30,Washington,Pac-12,So,P,11,11,10,3.2,59,56,24,21,19,25,0,250,220,11,1,1,1,4,3,1,2,1,4,4,62,81,2,2,0,9,756,1322512,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1322512,0.1,0.076,1.316,0.255,0.317,0.327,0.644,905
2018,1,"Gerace, Kyle",22,Rutgers,Big Ten,So,P,15,15,1,3.6,30,37,15,12,9,24,0,137,125,7,1,1,3,2,1,0,8,4,0,2,26,37,1,0,0,10,587,1879426,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1879426,0.175,0.066,2.667,0.296,0.343,0.44,0.783,827
