year,division,Player,Jersey,school,conference,Yr,Pos,GP,App,GS,ERA,IP,H.A,R.A,ER,BB.A,SO,SHO,BF,P.OAB,2B.A,3B.A,Bk,HR.A,WP,HB,IBB.A,IR,IRS,SHA,SFA,GO,FO,W,L,SV,KL,teamid,player_id,player_url,SO_PCT,BB_PCT,SO_BB_Ratio,BAA,OBPA,SLGA,OPSA,conference_id
2013,1,"Fort, Jim",10,Niagara,MAAC,Sr,P,10,9,9,6.94,35,48,32,27,21,28,0,174,149,7,2,1,3,4,2,0,0,0,2,0,25,48,2,4,0,9,482,1001417,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1001417,0.161,0.121,1.333,0.322,0.413,0.456,0.869,871
2013,1,"Grey, Connor",12,St. Bonaventure,Atlantic 10,Fr,P,17,16,1,4.55,29.2,26,18,15,18,17,0,136,105,3,0,2,0,9,7,3,11,4,4,2,27,39,1,2,1,6,596,1421499,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1421499,0.125,0.132,0.944,0.248,0.386,0.276,0.662,820
2019,1,"Gilreath, John",16,South Carolina,SEC,So,P,16,16,1,7,27,30,25,21,18,24,0,129,109,4,1,0,3,4,0,2,9,6,0,2,35,19,2,1,0,5,648,1980177,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1980177,0.186,0.14,1.333,0.275,0.372,0.413,0.785,911
2019,1,"Weiermiller, Austin",42,Stanford,Pac-12,So,P,25,25,0,2.45,33,25,11,9,17,41,0,138,119,5,1,0,1,1,0,0,16,3,1,1,18,34,6,0,2,10,674,1995997,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1995997,0.297,0.123,2.412,0.21,0.307,0.294,0.601,905
2018,1,"Vaughn, Tyler",9,Belmont,OVC,Sr,P,12,12,12,5.26,66.2,78,46,39,15,57,0,295,272,15,1,1,13,4,6,1,0,0,1,1,58,78,3,7,0,19,14927,1752756,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1752756,0.193,0.051,3.8,0.287,0.337,0.493,0.83,902
2013,1,"Hollingsworth, Chad",31,Texas,Big 12,Fr,P,17,17,5,3.72,29,25,13,12,11,15,0,122,106,4,4,0,0,4,2,0,9,3,2,1,36,30,3,1,0,6,703,1422953,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1422953,0.123,0.09,1.364,0.236,0.317,0.349,0.666,25354
2014,1,"Funkhouser, Kyle",16,Louisville,AAC,So,P,18,18,18,1.94,120.1,85,33,26,65,122,0,506,422,10,1,1,2,9,8,0,0,0,8,3,123,95,13,3,0,50,367,1437661,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1437661,0.241,0.128,1.877,0.201,0.317,0.244,0.561,823
2017,1,"Smith, Jonah",28,Abilene Christian,Southland,Fr,P,20,20,1,3.76,40.2,39,20,17,18,15,0,178,149,10,0,0,1,5,8,0,29,14,1,2,34,61,1,3,1,5,2,1884455,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884455,0.084,0.101,0.833,0.262,0.367,0.349,0.716,914
2015,1,"Byelick, Thomas",25,The Citadel,SoCon,Fr,P,13,13,10,4.7,44,42,30,23,17,35,0,196,166,11,2,0,2,4,4,0,0,0,5,4,51,40,3,3,0,8,141,1657122,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1657122,0.179,0.087,2.059,0.253,0.33,0.38,0.71,912
2016,1,"Aubin, Casey",18,Massachusetts,Atlantic 10,Fr,P,8,8,6,5.93,30.1,39,23,20,8,26,0,142,122,6,1,0,6,4,6,0,6,1,2,4,27,34,2,3,0,5,400,1756856,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1756856,0.183,0.056,3.25,0.32,0.379,0.533,0.912,820
2015,1,"Ticherich, Chris",27,Miami (OH),MAC,Jr,P,9,9,4,8,27,31,28,24,11,13,0,134,104,7,4,1,3,1,13,0,2,1,3,3,25,37,0,3,1,3,414,1643936,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1643936,0.097,0.082,1.182,0.298,0.42,0.529,0.949,875
2013,1,"Blackburn, Heath",10,Florida A&M,MEAC,Sr,P,14,14,13,6.58,64.1,85,58,47,22,37,0,312,268,19,3,0,3,7,9,0,2,0,8,4,78,69,1,9,0,16,228,1082632,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1082632,0.119,0.071,1.682,0.317,0.383,0.444,0.827,876
2019,1,"Busher, Matt",25,Old Dominion,C-USA,Fr,P,17,17,0,7.56,25,17,22,21,23,17,0,117,84,3,0,0,1,5,7,0,12,5,0,3,29,22,1,1,3,6,523,2118242,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2118242,0.145,0.197,0.739,0.202,0.402,0.274,0.676,24312
2015,1,"Ryan, Andrew",37,UMass Lowell,America East,Fr,P,11,11,7,2.67,57.1,46,18,17,17,29,1,230,200,7,3,0,3,2,4,1,0,0,5,4,53,80,2,2,1,11,368,1659316,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1659316,0.126,0.074,1.706,0.23,0.298,0.34,0.638,845
2019,1,"Wohlbold, Nick",33,UT Martin,OVC,So,INF,24,24,0,3.03,35.2,33,15,12,12,44,0,153,135,4,0,0,2,8,3,1,21,7,2,1,28,31,0,2,13,9,695,1981508,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1981508,0.288,0.078,3.667,0.244,0.318,0.319,0.637,902
2018,1,"Jacob, Michael",33,Toledo,MAC,Jr,P,16,16,14,4.75,77.2,80,53,41,39,61,1,350,292,12,1,0,2,7,7,0,1,0,8,4,91,63,2,9,0,12,709,1774795,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1774795,0.174,0.111,1.564,0.274,0.368,0.342,0.71,875
2013,1,"Hough, Bryson",22,Bucknell,Patriot,So,P,12,12,11,4.52,73.2,79,47,37,24,39,2,335,288,17,4,0,3,2,11,0,0,0,9,3,118,51,3,6,0,18,83,1310780,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1310780,0.116,0.072,1.625,0.274,0.35,0.392,0.742,838
2015,1,"Sawyer, Josh",30,Texas,Big 12,So,P,13,13,11,4.82,46.2,43,29,25,23,32,0,209,173,7,0,3,1,1,6,0,0,0,6,1,58,43,3,3,0,7,703,1545347,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1545347,0.153,0.11,1.391,0.249,0.355,0.306,0.661,25354
2016,1,"Wood, Jordan",34,BYU,WCC,Fr,P,13,13,1,6.44,29.1,30,22,21,7,22,0,129,116,7,0,0,5,7,5,0,14,5,0,1,28,35,1,1,0,9,77,1751330,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1751330,0.171,0.054,3.143,0.259,0.326,0.448,0.774,922
2016,1,"Gomer, Brandon",35,Evansville,MVC,Fr,P,15,15,10,7.66,49.1,57,45,42,32,34,0,243,195,10,2,1,6,7,15,0,0,0,1,0,59,43,1,7,0,10,219,1774055,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1774055,0.14,0.132,1.062,0.292,0.43,0.456,0.886,884
2014,1,"Kay, Anthony",18,UConn,AAC,Fr,P,18,18,8,3.49,67,62,31,26,40,56,0,302,241,13,1,2,3,10,8,0,15,7,9,4,70,59,5,4,2,16,164,1540617,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1540617,0.185,0.132,1.4,0.257,0.375,0.357,0.732,823
2015,1,"Williams, Chase",30,Wichita St.,MVC,So,P,18,18,7,5.59,56.1,54,39,35,42,57,0,270,217,11,0,0,5,19,5,1,6,3,4,1,54,52,3,4,1,14,782,1637255,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1637255,0.211,0.156,1.357,0.249,0.381,0.369,0.75,884
2018,1,"Anderson, Ka'ikepono",3,UT Arlington,Sun Belt,Jr,P,14,14,14,4.42,71.1,79,38,35,19,53,0,311,280,18,1,1,10,0,5,0,0,0,4,3,63,89,0,4,0,14,702,1977761,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1977761,0.17,0.061,2.789,0.282,0.336,0.461,0.797,818
2015,1,"Clancy, Matt",18,St. John's (NY),Big East,Jr,P,32,32,0,2.91,34,26,13,11,14,35,0,141,119,4,0,0,1,4,5,0,31,0,2,1,36,23,1,1,1,6,603,1425470,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1425470,0.248,0.099,2.5,0.218,0.324,0.277,0.601,30184
2016,1,"Conley, Bryce",29,Georgia St.,Sun Belt,Jr,P,22,22,6,5.19,59,53,35,34,39,70,0,280,212,6,1,1,2,23,23,1,19,4,6,0,47,46,5,4,2,27,254,1768683,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1768683,0.25,0.139,1.795,0.25,0.42,0.316,0.736,818
2019,1,"Leeper, Ben",5,Oklahoma St.,Big 12,Jr,P,29,29,0,4.31,31.1,24,18,15,23,43,0,145,112,2,1,2,3,2,5,3,21,4,3,2,17,30,4,4,7,12,521,1757500,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1757500,0.297,0.159,1.87,0.214,0.366,0.33,0.696,25354
2017,1,"Smith, Kyle",29,Cal Poly,Big West,Jr,P,14,14,6,5.82,34,40,30,22,26,29,0,174,136,12,2,0,2,5,6,0,5,3,5,1,35,33,1,3,0,2,90,1636974,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1636974,0.167,0.149,1.115,0.294,0.426,0.456,0.882,904
2016,1,"Lipinski, Jon",28,Tennessee,SEC,Jr,P,21,21,0,5.4,30,36,20,18,14,26,0,141,120,8,0,1,2,1,3,0,20,12,2,2,29,28,3,1,3,10,694,1757611,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1757611,0.184,0.099,1.857,0.3,0.381,0.417,0.798,911
2016,1,"Grabek, Jack",7,Bucknell,Patriot,Fr,P,11,11,7,5.35,35.1,29,22,21,24,22,0,159,122,4,3,2,3,6,7,0,7,5,3,3,42,34,1,3,0,7,83,1751845,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1751845,0.138,0.151,0.917,0.238,0.385,0.393,0.778,838
2015,1,"Aker, Mitchell",11,William & Mary,CAA,Jr,OF,13,13,8,7.31,48,63,42,39,24,32,0,237,199,13,0,0,4,6,10,0,3,2,2,2,47,56,1,3,1,9,786,1421011,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1421011,0.135,0.101,1.333,0.317,0.413,0.442,0.855,837
2017,1,"Gonzalez, Kevin",9,Mississippi Val.,SWAC,Fr,RF,41,13,4,4.78,37.2,44,24,20,20,37,0,185,153,8,1,3,0,5,8,0,5,2,2,2,36,35,1,3,2,12,432,1889566,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1889566,0.2,0.108,1.85,0.288,0.393,0.353,0.746,916
2014,1,"Jaeger, John",27,Pacific,WCC,Fr,P,21,21,0,4.03,29,28,13,13,14,20,0,127,102,10,2,0,1,2,3,4,17,6,5,3,29,31,2,1,5,5,534,1526278,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1526278,0.157,0.11,1.429,0.275,0.369,0.441,0.81,922
2019,1,"Traxel, Blaine",12,CSUN,Big West,Fr,P,32,32,2,3.64,54.1,64,23,22,11,48,0,235,213,11,2,0,3,0,3,1,32,8,5,3,45,61,1,3,2,16,101,2119209,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2119209,0.204,0.047,4.364,0.3,0.339,0.413,0.752,904
2014,1,"Cuellar, Jonathan",44,New Mexico,Mountain West,Sr,P,15,14,7,4.57,43.1,59,28,22,11,23,0,196,180,12,0,1,5,2,1,0,3,0,4,0,52,47,3,3,0,8,473,1417273,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1417273,0.117,0.056,2.091,0.328,0.37,0.478,0.848,5486
2016,1,"Anderson, Garrett",19,FGCU,ASUN,Jr,P,21,21,9,5.53,70,96,49,43,9,55,0,317,296,14,5,1,6,4,4,0,12,7,6,1,88,60,2,2,2,17,28755,1532731,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1532731,0.174,0.028,6.111,0.324,0.352,0.466,0.818,920
2016,1,"Ming, Cameron",47,Arizona,Pac-12,So,P,32,32,8,3.59,80.1,76,36,32,22,59,0,342,294,15,0,1,5,4,11,3,33,14,13,2,100,67,3,3,4,12,29,1654529,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1654529,0.173,0.064,2.682,0.259,0.331,0.361,0.692,905
2015,1,"Quintana, Matt",30,Siena,MAAC,Sr,P,20,20,4,1.51,59.2,37,14,10,14,64,1,232,209,5,0,0,1,5,3,0,20,3,5,1,60,50,2,2,5,21,639,1314512,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1314512,0.276,0.06,4.571,0.177,0.238,0.215,0.453,871
2015,1,"Gosselin-Deschesnes, Jacob",14,Maine,America East,Sr,P,19,19,5,3.53,58.2,55,27,23,17,36,0,246,218,12,2,0,4,2,3,1,6,1,3,4,46,84,3,3,0,17,380,1545678,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1545678,0.146,0.069,2.118,0.252,0.31,0.381,0.691,845
2017,1,"Murphy, Matt",15,Rhode Island,Atlantic 10,Jr,P,15,15,15,3.96,84,79,45,37,29,51,0,368,319,14,1,0,7,2,9,0,0,0,6,5,65,129,5,4,0,15,572,1888361,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1888361,0.139,0.079,1.759,0.248,0.323,0.364,0.687,820
2015,1,"Fischer, Corey",37,Kansas St.,Big 12,Jr,P,19,19,7,4.37,55.2,56,31,27,17,29,0,236,211,9,0,2,3,2,4,0,11,3,3,1,84,44,4,6,1,9,327,1638778,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1638778,0.123,0.072,1.706,0.265,0.33,0.351,0.681,25354
2014,1,"Bishop, Kevin",32,SFA,Southland,Sr,P,15,15,11,4.44,71,83,45,35,20,40,0,325,282,10,1,0,1,7,7,0,2,2,9,7,80,85,2,7,0,13,676,1191699,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1191699,0.123,0.062,2,0.294,0.348,0.348,0.696,914
2017,1,"Reilly, Luke",18,La Salle,Atlantic 10,Sr,P,13,13,13,3.75,81.2,84,43,34,25,77,0,352,314,19,4,0,3,4,8,0,0,0,4,1,63,90,2,6,0,15,340,1884279,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884279,0.219,0.071,3.08,0.268,0.336,0.382,0.718,820
2019,1,"Burns, Brendan",30,Ball St.,MAC,Sr,P,22,22,2,6.2,40.2,50,33,28,19,46,0,189,160,9,4,0,3,4,3,0,20,11,3,4,34,34,2,3,1,9,47,1639849,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1639849,0.243,0.101,2.421,0.312,0.387,0.475,0.862,875
2014,1,"Moyers, Steve",14,Rhode Island,Atlantic 10,So,P,13,13,13,2.3,82.1,66,35,21,19,60,1,342,306,15,5,3,0,3,8,0,0,0,7,2,104,73,2,6,0,10,572,1424097,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1424097,0.175,0.056,3.158,0.216,0.278,0.297,0.575,820
2019,1,"Seller, Ben",47,Siena,MAAC,Fr,P,14,14,9,6.54,31.2,37,26,23,28,30,0,160,127,9,4,0,1,3,3,1,6,1,1,1,35,24,1,3,0,9,639,2113549,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2113549,0.188,0.175,1.071,0.291,0.428,0.449,0.877,871
2018,1,"Thompson, Noah",15,Lipscomb,ASUN,Fr,P,11,11,11,3.02,59.2,50,23,20,24,26,0,253,218,11,2,1,2,4,4,0,0,0,4,3,50,93,3,4,0,8,28600,1974047,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1974047,0.103,0.095,1.083,0.229,0.313,0.326,0.639,920
2017,1,"Benavides, Gabe",45,Grand Canyon,WAC,So,P,16,16,4,6.4,32.1,48,26,23,13,16,0,156,136,10,0,0,3,1,5,0,5,5,2,0,28,43,0,1,0,2,1104,1769093,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769093,0.103,0.083,1.231,0.353,0.429,0.493,0.922,923
2014,1,"Rios, Ryan",3,Texas Southern,SWAC,Fr,P,20,20,11,3.25,63.2,54,33,23,21,34,0,287,238,14,4,2,3,4,18,1,6,3,5,4,70,80,3,5,1,8,699,1548762,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1548762,0.118,0.073,1.619,0.227,0.331,0.357,0.688,916
2014,1,"Lee, Sheldon",33,San Francisco,WCC,Jr,P,17,17,8,3.83,54,48,27,23,21,32,1,234,202,10,0,0,4,3,5,0,6,1,5,1,48,75,5,3,0,9,629,1198763,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1198763,0.137,0.09,1.524,0.238,0.323,0.347,0.67,922
2017,1,"Murphy, Chris",8,San Diego,WCC,Fr,P,28,17,12,4.17,69,60,33,32,35,89,0,310,260,16,1,0,6,2,15,0,2,0,0,0,41,67,3,4,1,26,627,1870189,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1870189,0.287,0.113,2.543,0.231,0.355,0.369,0.724,922
2013,1,"Schierholz, Will",4,Butler,Atlantic 10,So,P,19,19,0,3.73,31.1,38,15,13,9,16,0,140,121,8,0,1,1,3,3,1,16,10,3,4,26,46,1,2,1,6,87,1316222,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1316222,0.114,0.064,1.778,0.314,0.365,0.405,0.77,820
2018,1,"Sheridan, Joe",19,UCF,AAC,So,P,12,12,11,3.36,56.1,46,28,21,37,49,0,257,210,6,2,0,0,6,5,0,0,0,2,2,77,33,3,3,0,7,128,1884664,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884664,0.191,0.144,1.324,0.219,0.346,0.267,0.613,823
2015,1,"Trojan, Steven",30,Air Force,Mountain West,Jr,P,21,21,8,3.58,60.1,42,29,24,40,56,0,269,208,8,0,0,2,8,17,1,13,4,3,0,65,45,6,3,1,14,721,1422370,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1422370,0.208,0.149,1.4,0.202,0.374,0.269,0.643,5486
2016,1,"Davis, Cole",23,Delaware St.,MEAC,Fr,P,24,24,9,6.86,59,80,59,45,38,59,0,302,250,23,3,1,5,8,4,1,16,7,5,5,54,54,0,8,0,10,178,1771736,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1771736,0.195,0.126,1.553,0.32,0.411,0.496,0.907,876
2016,1,"Larrison, Ethan",38,Indiana St.,MVC,So,P,23,23,0,3.97,45.1,34,24,20,21,29,0,190,163,11,0,1,2,1,3,3,27,8,1,2,52,48,2,1,1,13,305,1659416,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1659416,0.153,0.111,1.381,0.209,0.307,0.313,0.62,884
2014,1,"Kessler, Kooper",30,Middle Tenn.,C-USA,Jr,P,20,20,2,3.28,35.2,30,18,13,15,24,0,150,124,4,2,0,0,7,3,1,16,8,4,4,43,34,2,2,2,10,419,1308378,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1308378,0.16,0.1,1.6,0.242,0.329,0.306,0.635,24312
2015,1,"Lapiana, Josh",33,Akron,MAC,Fr,P,12,12,7,5.32,47.1,57,36,28,21,22,0,218,190,11,2,0,5,1,1,0,0,0,2,4,55,59,2,3,0,3,5,1639630,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1639630,0.101,0.096,1.048,0.3,0.366,0.458,0.824,875
2017,1,"Walker, Jake",36,Rhode Island,Atlantic 10,Fr,P,12,12,5,5.74,26.2,31,20,17,15,19,0,130,109,2,0,0,2,1,3,0,1,0,1,2,20,41,2,1,0,3,572,1888368,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1888368,0.146,0.115,1.267,0.284,0.38,0.358,0.738,820
2016,1,"DeCaster, Ethan",27,Creighton,Big East,So,P,26,26,0,3.06,32.1,31,14,11,8,21,0,133,118,8,0,1,0,1,2,0,22,8,4,1,42,26,1,1,2,5,169,1668425,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1668425,0.158,0.06,2.625,0.263,0.318,0.331,0.649,30184
2015,1,"Gallup, Matt",3,Albany (NY),America East,Sr,P,10,10,8,6.97,40,51,32,31,12,14,0,192,164,11,1,0,0,3,8,0,2,0,5,3,54,47,1,2,0,5,14,1529853,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1529853,0.073,0.062,1.167,0.311,0.38,0.39,0.77,845
2013,1,"Ruchim, Kyle",9,Northwestern,Big Ten,Jr,INF,43,15,0,2.6,34.2,28,12,10,18,37,1,149,126,4,0,0,1,0,1,3,11,5,3,1,35,29,4,2,3,12,509,1219256,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1219256,0.248,0.121,2.056,0.222,0.322,0.278,0.6,827
2013,1,"Savas, Dan",11,Illinois St.,MVC,Jr,P,15,15,15,1.79,100.1,65,29,20,41,98,2,414,361,13,0,0,1,2,5,0,0,0,3,4,97,95,10,0,0,29,299,1213232,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1213232,0.237,0.099,2.39,0.18,0.27,0.224,0.494,884
2015,1,"Thurston, Chase",26,Eastern Ill.,OVC,So,P,25,25,0,4.26,38,33,19,18,24,31,0,175,138,8,1,1,3,6,5,0,14,10,2,5,33,45,2,3,5,13,201,1533168,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1533168,0.177,0.137,1.292,0.239,0.36,0.377,0.737,902
2016,1,"Moszkowicz, Lance",9,UIW,Southland,Jr,P,28,28,0,4.65,50.1,59,28,26,25,35,0,230,197,10,1,0,0,3,6,1,19,9,2,0,46,56,1,4,8,16,2743,1757377,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1757377,0.152,0.109,1.4,0.299,0.395,0.36,0.755,914
2014,1,"Heiligenstadt, Erik",17,Gardner-Webb,Big South,Jr,P,13,13,13,4.32,81.1,86,41,39,17,53,2,339,310,20,1,0,3,3,2,3,0,0,9,1,85,88,5,6,0,18,1092,1217491,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1217491,0.156,0.05,3.118,0.277,0.318,0.377,0.695,826
2013,1,"Beers, Paul",13,Towson,CAA,So,P,15,15,14,4.96,78,106,53,43,17,43,0,356,319,22,3,0,10,3,9,4,1,1,6,5,91,82,1,6,1,13,711,1315360,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1315360,0.121,0.048,2.529,0.332,0.377,0.514,0.891,837
2013,1,"Ploeger, Jim",10,Ark.-Pine Bluff,SWAC,Jr,P,13,13,11,4.11,72.1,73,43,33,23,65,0,323,272,12,2,1,0,5,16,0,0,0,10,2,77,58,5,4,0,16,2678,1424059,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1424059,0.201,0.071,2.826,0.268,0.358,0.327,0.685,916
2018,1,"Paulk, Scheldon",38,Middle Tenn.,C-USA,So,P,16,16,2,5.58,30.2,41,24,19,17,19,0,146,126,3,0,0,1,4,1,0,9,6,0,2,33,34,1,0,0,6,419,1977363,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1977363,0.13,0.116,1.118,0.325,0.404,0.373,0.777,24312
2015,1,"Connorlly, Kevin",20,Central Conn. St.,NEC,Jr,P,15,15,0,2.16,25,26,13,6,6,27,0,113,101,5,1,0,0,1,5,3,10,5,0,1,24,21,3,1,3,9,127,1440379,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1440379,0.239,0.053,4.5,0.257,0.327,0.327,0.654,846
2013,1,"Murray, Donny",21,Holy Cross,Patriot,So,P,14,14,11,4.33,72.2,76,42,35,24,61,1,330,288,11,5,0,1,6,9,0,0,0,6,3,75,79,7,3,0,19,285,1305779,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=285&stats_player_seq=1305779,0.185,0.073,2.542,0.264,0.336,0.347,0.683,838
2018,1,"Gillies, Keagan",35,Tulane,AAC,So,P,14,14,14,3.36,80.1,67,38,30,31,57,0,342,295,15,1,4,8,5,7,0,0,0,8,1,72,105,6,6,0,19,718,1879791,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1879791,0.167,0.091,1.839,0.227,0.314,0.366,0.68,823
2017,1,"McQuary, Denver",22,Mississippi St.,SEC,Fr,P,25,21,8,5.2,55.1,41,32,32,50,40,0,264,202,12,0,0,4,7,7,1,5,1,4,1,51,73,3,4,0,7,430,1882023,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1882023,0.152,0.189,0.8,0.203,0.377,0.322,0.699,911
2016,1,"Bird, Jake",14,UCLA,Pac-12,So,P,28,28,7,6.36,46.2,58,42,33,18,22,0,221,186,10,1,0,4,3,9,0,15,8,7,1,69,41,1,6,0,9,110,1658829,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1658829,0.1,0.081,1.222,0.312,0.397,0.441,0.838,905
2019,1,"Elliott, Jensen",34,Oklahoma St.,Big 12,Sr,P,22,17,17,3.56,98.2,81,45,39,37,62,1,410,364,12,2,0,5,3,5,0,0,0,2,2,123,91,10,4,0,23,521,1757501,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1757501,0.151,0.09,1.676,0.223,0.301,0.308,0.609,25354
2018,1,"Freure, RJ",33,Pittsburgh,ACC,So,P,27,27,1,4.3,58.2,49,30,28,35,95,0,260,216,13,1,0,5,3,2,1,26,5,5,2,41,37,4,1,2,38,545,1881759,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1881759,0.365,0.135,2.714,0.227,0.337,0.366,0.703,821
2015,1,"Chism, Chris",30,Tennessee Tech,OVC,Sr,P,17,17,11,4.61,80,93,49,41,25,68,1,361,316,13,1,0,5,8,10,0,8,6,4,6,88,70,8,3,0,24,692,1541446,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1541446,0.188,0.069,2.72,0.294,0.359,0.389,0.748,902
2018,1,"Lund, Sam",19,Bradley,MVC,Jr,P,14,14,13,5.43,58,63,37,35,27,40,0,263,230,16,2,0,3,6,3,0,0,0,1,2,54,74,6,4,0,14,72,1978916,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1978916,0.152,0.103,1.481,0.274,0.355,0.4,0.755,884
