"year","BA","OBP","SLG","school","K%","BB%","ISO","OPS","tourn_appearance","cws_appearance","cws_final","cws_champ","RC.PA","K-BB%","ERA","SO_PCT","BB_PCT","SO_BB_Ratio","FIP","BAA","OBPA","SLGA","OPSA","GO.O","FO.O","XB.PA","HR.PA","RBI.PA","SF.PA","SH.PA","DP.PA","R.PA","RA.BF","XBA.BF","HRA.BF","KL.BF"
2016,0.266,0.35,0.377,"LMU (CA)",0.175,0.084,0.111,0.727,0,0,0,0,0.107,0.091,3.83,0.157,0.075,2.099,4.11,0.259,0.325,0.386,0.711,0.37,0.358,0.061,0.014,0.116,0.007,0.02,0.025,0.129,0.113,0.069,0.017,0.044
2019,0.28,0.373,0.425,"Louisiana Tech",0.176,0.092,0.145,0.798,0,0,0,0,0.127,0.084,4.28,0.213,0.083,2.578,4.13,0.262,0.344,0.388,0.732,0.33,0.306,0.072,0.022,0.138,0.013,0.009,0.017,0.15,0.121,0.063,0.021,0.065
2015,0.272,0.342,0.387,"Memphis",0.14,0.075,0.115,0.729,0,0,0,0,0.114,0.065,3.79,0.164,0.071,2.298,4.02,0.263,0.329,0.369,0.698,0.36,0.346,0.059,0.017,0.121,0.008,0.021,0.018,0.14,0.114,0.062,0.014,0.044
2014,0.27,0.365,0.371,"NC State",0.187,0.108,0.101,0.736,0,0,0,0,0.114,0.079,3.27,0.237,0.105,2.243,3.91,0.236,0.337,0.314,0.651,0.299,0.302,0.052,0.014,0.122,0.007,0.014,0.02,0.143,0.099,0.044,0.009,0.083
2015,0.27,0.376,0.402,"Tennessee Tech",0.151,0.116,0.132,0.778,0,0,0,0,0.122,0.035,5.93,0.175,0.088,1.976,4.25,0.307,0.38,0.446,0.826,0.316,0.354,0.071,0.018,0.139,0.013,0.008,0.023,0.155,0.171,0.073,0.021,0.064
2015,0.267,0.354,0.354,"Villanova",0.158,0.091,0.087,0.708,0,0,0,0,0.106,0.067,4.14,0.152,0.098,1.541,4.08,0.279,0.364,0.375,0.739,0.362,0.341,0.055,0.007,0.102,0.003,0.019,0.021,0.117,0.128,0.057,0.008,0.056
2015,0.253,0.335,0.337,"Stanford",0.147,0.09,0.084,0.672,0,0,0,0,0.094,0.057,4.45,0.171,0.125,1.363,4.23,0.258,0.365,0.362,0.727,0.347,0.336,0.051,0.008,0.097,0.008,0.02,0.026,0.109,0.133,0.056,0.012,0.054
2016,0.304,0.38,0.433,"Oral Roberts",0.158,0.096,0.129,0.813,1,0,0,0,0.141,0.062,3.91,0.194,0.103,1.888,4.09,0.269,0.355,0.368,0.723,0.327,0.336,0.074,0.017,0.141,0.01,0.02,0.02,0.152,0.122,0.052,0.014,0.061
2016,0.273,0.349,0.34,"Nicholls St.",0.161,0.076,0.067,0.689,0,0,0,0,0.1,0.085,4.9,0.166,0.08,2.082,4.01,0.282,0.353,0.379,0.732,0.335,0.348,0.044,0.004,0.11,0.009,0.018,0.02,0.124,0.141,0.055,0.011,0.054
2017,0.323,0.407,0.452,"St. John's (NY)",0.132,0.106,0.129,0.859,1,0,0,0,0.154,0.026,3.11,0.196,0.084,2.326,3.9,0.235,0.316,0.305,0.621,0.328,0.342,0.07,0.015,0.156,0.013,0.018,0.022,0.172,0.103,0.041,0.008,0.064
