"year","BA","OBP","SLG","school","K%","BB%","ISO","OPS","tourn_appearance","cws_appearance","cws_final","cws_champ","RC.PA","K-BB%","ERA","SO_PCT","BB_PCT","SO_BB_Ratio","FIP","BAA","OBPA","SLGA","OPSA","GO.O","FO.O","XB.PA","HR.PA","RBI.PA","SF.PA","SH.PA","DP.PA","R.PA","RA.BF","XBA.BF","HRA.BF","KL.BF"
2014,0.245,0.323,0.328,"Notre Dame",0.18,0.083,0.083,0.651,0,0,0,0,0.088,0.097,3.05,0.151,0.099,1.519,4,0.243,0.331,0.315,0.646,0.378,0.345,0.053,0.005,0.085,0.011,0.017,0.016,0.1,0.106,0.046,0.004,0.046
2018,0.269,0.375,0.429,"Vanderbilt",0.229,0.12,0.16,0.804,1,0,0,0,0.135,0.109,4.23,0.241,0.102,2.372,4.05,0.243,0.336,0.361,0.697,0.303,0.303,0.075,0.027,0.137,0.005,0.007,0.013,0.156,0.119,0.058,0.019,0.069
2014,0.282,0.349,0.395,"Delaware",0.151,0.076,0.113,0.744,0,0,0,0,0.117,0.075,5.48,0.162,0.108,1.502,4.45,0.285,0.387,0.441,0.828,0.363,0.298,0.067,0.013,0.13,0.012,0.02,0.019,0.14,0.151,0.077,0.022,0.052
2013,0.243,0.326,0.303,"Harvard",0.186,0.089,0.06,0.629,0,0,0,0,0.083,0.097,6.31,0.123,0.097,1.272,4.38,0.303,0.396,0.437,0.833,0.38,0.372,0.041,0.004,0.077,0.002,0.011,0.028,0.089,0.179,0.077,0.012,0.034
2017,0.265,0.35,0.387,"Hawaii",0.161,0.098,0.122,0.737,0,0,0,0,0.113,0.063,3.58,0.147,0.058,2.544,3.99,0.272,0.325,0.373,0.698,0.387,0.352,0.069,0.015,0.116,0.01,0.015,0.022,0.126,0.119,0.059,0.013,0.034
2015,0.289,0.373,0.376,"UC Santa Barbara",0.156,0.091,0.087,0.749,1,0,0,0,0.113,0.065,2.45,0.217,0.067,3.209,3.74,0.238,0.301,0.306,0.607,0.351,0.297,0.052,0.007,0.121,0.012,0.027,0.019,0.132,0.088,0.041,0.008,0.059
2016,0.279,0.347,0.403,"Presbyterian",0.171,0.083,0.124,0.75,0,0,0,0,0.122,0.088,5.02,0.172,0.096,1.795,4.26,0.263,0.36,0.376,0.736,0.35,0.342,0.072,0.015,0.128,0.01,0.016,0.015,0.143,0.141,0.058,0.017,0.047
2019,0.28,0.362,0.423,"Stony Brook",0.183,0.093,0.143,0.785,1,0,0,0,0.128,0.09,5.51,0.188,0.097,1.945,4.19,0.272,0.36,0.414,0.774,0.327,0.333,0.08,0.019,0.133,0.015,0.012,0.015,0.147,0.147,0.079,0.018,0.047
2013,0.248,0.344,0.313,"Ark.-Pine Bluff",0.167,0.085,0.065,0.657,0,0,0,0,0.085,0.082,4.3,0.162,0.077,2.101,4,0.272,0.353,0.369,0.722,0.384,0.302,0.041,0.005,0.114,0.009,0.03,0.016,0.124,0.141,0.06,0.007,0.042
2019,0.281,0.37,0.408,"Saint Mary's (CA)",0.174,0.091,0.127,0.778,0,0,0,0,0.121,0.083,3.76,0.241,0.079,3.047,3.93,0.243,0.324,0.346,0.67,0.271,0.34,0.068,0.018,0.135,0.009,0.015,0.013,0.15,0.108,0.053,0.016,0.068
2018,0.287,0.364,0.423,"Texas A&M",0.179,0.091,0.136,0.787,1,0,0,0,0.133,0.088,3.38,0.217,0.082,2.641,4,0.243,0.326,0.351,0.677,0.358,0.278,0.07,0.02,0.133,0.009,0.01,0.025,0.148,0.107,0.058,0.016,0.051
2013,0.255,0.322,0.341,"Jacksonville",0.192,0.079,0.086,0.663,0,0,0,0,0.096,0.113,5.53,0.142,0.092,1.543,4.27,0.295,0.381,0.405,0.786,0.375,0.343,0.051,0.011,0.098,0.007,0.016,0.023,0.108,0.17,0.062,0.014,0.044
2016,0.232,0.341,0.335,"Oregon",0.171,0.116,0.103,0.676,0,0,0,0,0.092,0.055,3.74,0.205,0.092,2.235,4.04,0.243,0.337,0.343,0.68,0.362,0.289,0.055,0.013,0.12,0.008,0.024,0.011,0.132,0.114,0.055,0.013,0.056
2019,0.253,0.355,0.375,"Houston",0.209,0.112,0.122,0.73,0,0,0,0,0.109,0.097,3.82,0.195,0.1,1.941,4.13,0.238,0.332,0.347,0.679,0.365,0.293,0.06,0.019,0.109,0.007,0.015,0.02,0.126,0.118,0.057,0.016,0.054
2016,0.282,0.372,0.406,"Wichita St.",0.189,0.109,0.124,0.778,0,0,0,0,0.127,0.08,5.98,0.183,0.103,1.779,4.27,0.284,0.371,0.441,0.812,0.315,0.352,0.067,0.017,0.13,0.009,0.014,0.022,0.148,0.17,0.084,0.02,0.045
2018,0.268,0.338,0.369,"Penn",0.199,0.076,0.101,0.707,0,0,0,0,0.107,0.123,4.63,0.215,0.093,2.31,4.13,0.276,0.364,0.403,0.767,0.32,0.286,0.059,0.014,0.115,0.007,0.005,0.021,0.124,0.14,0.066,0.019,0.065
2019,0.291,0.378,0.447,"Kent St.",0.172,0.106,0.156,0.825,0,0,0,0,0.142,0.066,4.56,0.229,0.108,2.115,4.13,0.247,0.35,0.373,0.723,0.27,0.335,0.079,0.024,0.154,0.016,0.01,0.016,0.166,0.139,0.065,0.018,0.063
2016,0.236,0.33,0.319,"UMass Lowell",0.204,0.099,0.083,0.649,0,0,0,0,0.09,0.105,4.85,0.159,0.113,1.404,4.28,0.27,0.376,0.387,0.763,0.336,0.352,0.042,0.012,0.1,0.012,0.009,0.015,0.11,0.146,0.063,0.013,0.051
2014,0.285,0.37,0.403,"Kent St.",0.137,0.082,0.118,0.773,1,0,0,0,0.122,0.055,3.74,0.188,0.087,2.166,3.93,0.236,0.32,0.31,0.63,0.328,0.356,0.07,0.011,0.145,0.012,0.013,0.02,0.158,0.123,0.046,0.008,0.043
2017,0.263,0.351,0.395,"Alabama",0.191,0.097,0.132,0.746,0,0,0,0,0.112,0.094,4.83,0.19,0.117,1.619,4.12,0.276,0.371,0.372,0.743,0.351,0.301,0.067,0.022,0.115,0.012,0.018,0.024,0.131,0.138,0.054,0.012,0.047
2014,0.258,0.35,0.321,"South Fla.",0.166,0.093,0.063,0.671,0,0,0,0,0.091,0.073,3.51,0.155,0.091,1.704,4.04,0.262,0.35,0.338,0.688,0.338,0.368,0.04,0.004,0.103,0.011,0.018,0.023,0.117,0.11,0.046,0.006,0.045
2014,0.314,0.426,0.432,"Canisius",0.136,0.119,0.118,0.858,0,0,0,0,0.144,0.017,3.79,0.134,0.079,1.706,4.04,0.25,0.332,0.332,0.664,0.373,0.388,0.064,0.01,0.154,0.011,0.018,0.017,0.175,0.116,0.054,0.005,0.038
2016,0.309,0.409,0.472,"Southeast Mo. St.",0.184,0.129,0.163,0.881,1,0,0,0,0.162,0.055,4,0.234,0.082,2.854,3.87,0.26,0.33,0.369,0.699,0.309,0.301,0.081,0.023,0.169,0.008,0.01,0.015,0.183,0.122,0.062,0.015,0.053
2019,0.246,0.334,0.337,"Bethune-Cookman",0.175,0.093,0.091,0.671,0,0,0,0,0.095,0.082,5.73,0.182,0.116,1.57,4.33,0.264,0.369,0.379,0.748,0.306,0.362,0.051,0.012,0.106,0.009,0.016,0.02,0.122,0.162,0.055,0.018,0.051
2015,0.284,0.37,0.409,"UCLA",0.146,0.098,0.125,0.779,1,0,0,0,0.125,0.048,2.17,0.231,0.065,3.565,3.76,0.219,0.284,0.304,0.588,0.341,0.298,0.072,0.013,0.128,0.011,0.027,0.021,0.145,0.079,0.051,0.011,0.066
2018,0.256,0.345,0.38,"Stetson",0.19,0.101,0.124,0.725,1,0,0,0,0.111,0.089,2.66,0.279,0.084,3.307,3.7,0.207,0.291,0.277,0.568,0.291,0.288,0.07,0.013,0.131,0.01,0.012,0.012,0.148,0.088,0.04,0.011,0.07
2015,0.275,0.361,0.406,"Lipscomb",0.159,0.098,0.131,0.767,1,0,0,0,0.122,0.061,3.78,0.17,0.079,2.163,4.07,0.256,0.333,0.359,0.692,0.381,0.32,0.07,0.017,0.133,0.011,0.027,0.021,0.145,0.115,0.056,0.014,0.046
2019,0.253,0.359,0.454,"Indiana",0.268,0.115,0.201,0.813,1,0,0,0,0.133,0.153,3.81,0.24,0.084,2.847,3.87,0.24,0.321,0.35,0.671,0.328,0.282,0.089,0.039,0.155,0.006,0.003,0.016,0.172,0.119,0.065,0.013,0.071
2018,0.28,0.377,0.406,"FGCU",0.181,0.109,0.126,0.783,0,0,0,0,0.125,0.072,4.17,0.218,0.088,2.486,3.89,0.26,0.339,0.347,0.686,0.347,0.284,0.063,0.019,0.132,0.01,0.016,0.014,0.144,0.131,0.048,0.011,0.069
2018,0.271,0.39,0.336,"Central Mich.",0.157,0.122,0.065,0.726,0,0,0,0,0.101,0.035,4.53,0.217,0.115,1.886,4.07,0.254,0.358,0.364,0.722,0.308,0.304,0.038,0.005,0.121,0.008,0.021,0.024,0.144,0.142,0.056,0.012,0.06
2019,0.26,0.362,0.364,"Washington",0.227,0.108,0.104,0.726,0,0,0,0,0.107,0.119,4.49,0.249,0.091,2.738,4.01,0.253,0.332,0.402,0.734,0.306,0.291,0.054,0.014,0.125,0.009,0.012,0.021,0.142,0.131,0.076,0.022,0.072
2018,0.255,0.333,0.356,"Southern California",0.163,0.091,0.101,0.689,0,0,0,0,0.1,0.072,4.99,0.194,0.124,1.561,4.22,0.259,0.366,0.38,0.746,0.312,0.344,0.058,0.013,0.111,0.011,0.01,0.015,0.119,0.135,0.063,0.015,0.053
2018,0.27,0.356,0.358,"Rutgers",0.176,0.102,0.088,0.714,0,0,0,0,0.11,0.074,4.82,0.166,0.113,1.473,4.24,0.272,0.372,0.389,0.761,0.345,0.338,0.05,0.009,0.132,0.01,0.017,0.018,0.152,0.141,0.063,0.013,0.049
2017,0.252,0.368,0.357,"Southern U.",0.198,0.123,0.105,0.725,0,0,0,0,0.106,0.075,5.61,0.134,0.108,1.237,4.34,0.308,0.396,0.421,0.817,0.334,0.382,0.061,0.01,0.106,0.008,0.018,0.02,0.138,0.17,0.058,0.014,0.045
2013,0.286,0.354,0.354,"San Jose St.",0.131,0.067,0.068,0.708,0,0,0,0,0.104,0.064,6.32,0.117,0.089,1.316,4.37,0.325,0.402,0.443,0.845,0.304,0.447,0.047,0.004,0.106,0.007,0.021,0.019,0.115,0.171,0.064,0.015,0.035
2017,0.295,0.376,0.432,"UT Martin",0.179,0.091,0.137,0.808,0,0,0,0,0.136,0.088,6.19,0.189,0.129,1.464,4.38,0.288,0.397,0.42,0.817,0.318,0.313,0.072,0.019,0.133,0.012,0.014,0.019,0.148,0.165,0.063,0.019,0.057
2017,0.278,0.363,0.42,"UCF",0.195,0.092,0.142,0.783,1,0,0,0,0.131,0.103,3,0.234,0.085,2.738,3.9,0.23,0.309,0.327,0.636,0.329,0.29,0.074,0.021,0.142,0.008,0.011,0.015,0.157,0.096,0.052,0.015,0.057
2017,0.257,0.342,0.36,"Northwestern",0.198,0.088,0.103,0.702,0,0,0,0,0.103,0.11,5.07,0.167,0.096,1.734,4.34,0.279,0.365,0.42,0.785,0.308,0.386,0.058,0.013,0.116,0.01,0.013,0.026,0.135,0.14,0.071,0.023,0.054
2018,0.258,0.345,0.379,"Washington St.",0.213,0.097,0.121,0.724,0,0,0,0,0.108,0.116,5.66,0.184,0.098,1.873,4.26,0.303,0.397,0.426,0.823,0.319,0.332,0.063,0.018,0.102,0.006,0.018,0.021,0.111,0.152,0.064,0.017,0.053
2017,0.27,0.342,0.435,"Gardner-Webb",0.195,0.082,0.165,0.777,0,0,0,0,0.127,0.113,5.6,0.146,0.102,1.439,4.45,0.302,0.385,0.452,0.837,0.347,0.355,0.078,0.033,0.125,0.009,0.013,0.019,0.139,0.159,0.075,0.024,0.044
2016,0.27,0.35,0.339,"Western Mich.",0.159,0.084,0.069,0.689,1,0,0,0,0.097,0.075,5.9,0.171,0.111,1.542,4.24,0.301,0.391,0.429,0.82,0.337,0.333,0.045,0.005,0.1,0.009,0.03,0.02,0.11,0.157,0.069,0.015,0.051
2018,0.257,0.332,0.375,"Winthrop",0.214,0.089,0.118,0.707,0,0,0,0,0.109,0.125,4.81,0.197,0.084,2.341,4.12,0.269,0.343,0.395,0.738,0.308,0.355,0.065,0.016,0.11,0.008,0.01,0.021,0.124,0.14,0.064,0.02,0.049
2016,0.267,0.363,0.418,"Ohio St.",0.185,0.105,0.151,0.781,1,0,0,0,0.127,0.08,3.35,0.197,0.064,3.075,3.82,0.254,0.316,0.331,0.647,0.385,0.289,0.078,0.022,0.129,0.01,0.015,0.015,0.143,0.102,0.047,0.009,0.067
2015,0.251,0.331,0.346,"Fairfield",0.198,0.084,0.095,0.677,0,0,0,0,0.096,0.114,4.94,0.135,0.092,1.457,4.32,0.28,0.371,0.412,0.783,0.379,0.342,0.055,0.012,0.107,0.005,0.012,0.021,0.119,0.146,0.072,0.015,0.041
2018,0.274,0.362,0.385,"Abilene Christian",0.172,0.095,0.111,0.747,0,0,0,0,0.116,0.077,5.88,0.154,0.087,1.772,4.3,0.306,0.381,0.443,0.824,0.372,0.33,0.065,0.012,0.124,0.006,0.021,0.014,0.143,0.163,0.072,0.02,0.043
2016,0.268,0.334,0.352,"San Jose St.",0.146,0.076,0.084,0.686,0,0,0,0,0.099,0.07,6.11,0.119,0.089,1.333,4.28,0.323,0.399,0.458,0.857,0.367,0.376,0.052,0.008,0.1,0.007,0.016,0.022,0.113,0.166,0.081,0.012,0.041
2013,0.295,0.376,0.406,"Illinois",0.142,0.103,0.111,0.782,1,0,0,0,0.135,0.039,3.76,0.148,0.076,1.951,4.08,0.267,0.34,0.364,0.704,0.387,0.331,0.062,0.014,0.137,0.008,0.013,0.016,0.149,0.114,0.058,0.012,0.05
2015,0.26,0.335,0.344,"A&M-Corpus Christi",0.175,0.087,0.084,0.679,0,0,0,0,0.1,0.088,3.6,0.202,0.089,2.263,3.89,0.256,0.337,0.329,0.666,0.371,0.291,0.049,0.007,0.116,0.009,0.015,0.018,0.127,0.113,0.045,0.008,0.062
2016,0.296,0.389,0.476,"Samford",0.176,0.109,0.18,0.865,0,0,0,0,0.154,0.067,4.97,0.173,0.11,1.568,4.36,0.269,0.37,0.397,0.767,0.357,0.325,0.083,0.033,0.155,0.007,0.009,0.019,0.169,0.137,0.06,0.02,0.051
2013,0.268,0.342,0.36,"California",0.165,0.076,0.092,0.702,0,0,0,0,0.101,0.089,4.61,0.162,0.081,1.994,4.08,0.292,0.364,0.394,0.758,0.371,0.331,0.049,0.014,0.104,0.01,0.029,0.02,0.115,0.127,0.053,0.013,0.049
2018,0.287,0.382,0.433,"Wofford",0.19,0.102,0.146,0.815,0,0,0,0,0.137,0.088,4.95,0.19,0.074,2.565,4.26,0.272,0.342,0.426,0.768,0.337,0.337,0.074,0.02,0.142,0.014,0.014,0.02,0.164,0.142,0.077,0.028,0.044
2018,0.265,0.371,0.38,"Elon",0.197,0.12,0.115,0.751,0,0,0,0,0.116,0.077,3.37,0.25,0.099,2.533,3.85,0.225,0.319,0.298,0.617,0.317,0.281,0.059,0.016,0.13,0.014,0.008,0.018,0.147,0.106,0.04,0.01,0.064
2016,0.286,0.357,0.406,"San Diego",0.15,0.086,0.12,0.763,0,0,0,0,0.123,0.064,5.42,0.204,0.105,1.954,4.15,0.286,0.382,0.41,0.792,0.347,0.28,0.074,0.013,0.127,0.012,0.012,0.019,0.14,0.144,0.071,0.015,0.053
2019,0.263,0.357,0.387,"UNCW",0.228,0.108,0.124,0.744,1,0,0,0,0.117,0.12,4.24,0.225,0.105,2.146,4.01,0.228,0.326,0.323,0.649,0.317,0.313,0.068,0.014,0.12,0.007,0.017,0.014,0.136,0.131,0.049,0.013,0.075
2015,0.276,0.366,0.396,"Kansas",0.139,0.104,0.12,0.762,0,0,0,0,0.119,0.035,5.56,0.146,0.101,1.445,4.33,0.302,0.39,0.424,0.814,0.366,0.345,0.066,0.015,0.116,0.01,0.014,0.028,0.127,0.148,0.064,0.017,0.034
2019,0.236,0.319,0.307,"UMES",0.225,0.085,0.071,0.626,0,0,0,0,0.085,0.14,8.69,0.131,0.132,0.99,4.59,0.345,0.444,0.496,0.94,0.293,0.413,0.045,0.004,0.09,0.01,0.012,0.019,0.111,0.228,0.08,0.016,0.036
2017,0.257,0.356,0.345,"Oregon",0.166,0.103,0.088,0.701,0,0,0,0,0.097,0.063,3.86,0.224,0.069,3.252,3.8,0.258,0.321,0.353,0.674,0.309,0.322,0.049,0.009,0.104,0.011,0.023,0.021,0.116,0.114,0.057,0.012,0.06
2014,0.263,0.35,0.363,"St. Bonaventure",0.186,0.09,0.1,0.713,0,0,0,0,0.105,0.096,5.53,0.117,0.09,1.307,4.28,0.297,0.382,0.419,0.801,0.34,0.424,0.058,0.01,0.109,0.009,0.023,0.014,0.117,0.164,0.072,0.01,0.038
2013,0.288,0.376,0.388,"Oregon St.",0.142,0.102,0.1,0.764,1,1,0,0,0.12,0.04,2.33,0.187,0.073,2.569,3.86,0.219,0.294,0.288,0.582,0.354,0.329,0.057,0.011,0.131,0.012,0.023,0.02,0.142,0.082,0.043,0.007,0.062
2013,0.249,0.324,0.291,"Yale",0.172,0.078,0.042,0.615,0,0,0,0,0.079,0.094,3.92,0.14,0.084,1.661,4.1,0.268,0.352,0.358,0.71,0.387,0.348,0.029,0.003,0.087,0.009,0.03,0.015,0.099,0.138,0.059,0.008,0.049
2015,0.247,0.337,0.352,"Siena",0.199,0.098,0.105,0.689,0,0,0,0,0.097,0.101,4.72,0.167,0.095,1.758,4.05,0.269,0.356,0.361,0.717,0.361,0.334,0.056,0.015,0.109,0.008,0.018,0.02,0.12,0.138,0.056,0.009,0.059
2013,0.277,0.361,0.381,"NC State",0.159,0.095,0.104,0.742,1,1,0,0,0.116,0.064,3.08,0.23,0.093,2.475,3.96,0.216,0.309,0.3,0.609,0.324,0.295,0.062,0.011,0.127,0.013,0.019,0.015,0.147,0.097,0.043,0.014,0.067
2016,0.276,0.372,0.379,"Kansas",0.156,0.107,0.103,0.751,0,0,0,0,0.115,0.049,6.27,0.161,0.104,1.542,4.48,0.307,0.392,0.479,0.871,0.354,0.333,0.06,0.01,0.12,0.013,0.019,0.024,0.133,0.166,0.085,0.027,0.044
2017,0.308,0.401,0.509,"Wake Forest",0.201,0.115,0.201,0.91,1,0,0,0,0.169,0.086,4.11,0.225,0.096,2.329,4.1,0.247,0.34,0.377,0.717,0.326,0.302,0.089,0.04,0.167,0.01,0.008,0.019,0.18,0.125,0.068,0.019,0.063
2016,0.291,0.358,0.404,"FIU",0.19,0.082,0.113,0.762,0,0,0,0,0.125,0.108,4.34,0.18,0.1,1.813,4.12,0.284,0.37,0.388,0.758,0.366,0.298,0.065,0.015,0.116,0.009,0.014,0.02,0.131,0.131,0.055,0.014,0.062
2013,0.286,0.36,0.374,"Monmouth",0.124,0.074,0.088,0.734,0,0,0,0,0.111,0.05,4.13,0.133,0.075,1.768,4.02,0.273,0.343,0.365,0.708,0.346,0.405,0.052,0.009,0.118,0.012,0.021,0.02,0.134,0.121,0.06,0.007,0.043
2019,0.27,0.395,0.381,"Army West Point",0.195,0.143,0.111,0.776,1,0,0,0,0.122,0.052,4.15,0.2,0.098,2.048,4.15,0.247,0.342,0.359,0.701,0.312,0.345,0.06,0.011,0.138,0.009,0.023,0.017,0.161,0.128,0.056,0.017,0.06
2018,0.272,0.368,0.415,"Kansas",0.197,0.1,0.143,0.783,0,0,0,0,0.122,0.097,6.15,0.217,0.114,1.903,4.28,0.276,0.378,0.44,0.818,0.286,0.327,0.073,0.02,0.135,0.01,0.009,0.02,0.143,0.168,0.084,0.021,0.055
2017,0.259,0.339,0.364,"UAB",0.189,0.081,0.105,0.703,0,0,0,0,0.105,0.108,5.46,0.162,0.105,1.535,4.43,0.285,0.386,0.428,0.814,0.35,0.338,0.062,0.012,0.109,0.008,0.014,0.019,0.126,0.148,0.074,0.021,0.043
2015,0.298,0.377,0.438,"Alabama A&M",0.179,0.093,0.14,0.815,0,0,0,0,0.139,0.086,5.67,0.18,0.109,1.654,4.22,0.292,0.392,0.41,0.802,0.318,0.327,0.078,0.019,0.147,0.008,0.018,0.019,0.164,0.162,0.064,0.013,0.056
2015,0.276,0.362,0.404,"Southern U.",0.185,0.085,0.128,0.766,0,0,0,0,0.119,0.1,5.64,0.194,0.101,1.911,4,0.275,0.371,0.386,0.757,0.349,0.284,0.066,0.016,0.132,0.008,0.016,0.014,0.15,0.158,0.068,0.006,0.071
2019,0.25,0.359,0.421,"Maryland",0.231,0.106,0.171,0.78,0,0,0,0,0.118,0.125,5.42,0.198,0.123,1.611,4.5,0.251,0.371,0.408,0.779,0.343,0.304,0.082,0.028,0.128,0.008,0.015,0.014,0.138,0.152,0.074,0.025,0.05
2017,0.287,0.384,0.418,"Lamar University",0.155,0.123,0.131,0.802,0,0,0,0,0.135,0.032,4.52,0.183,0.097,1.886,4.07,0.268,0.352,0.383,0.735,0.35,0.321,0.068,0.02,0.146,0.013,0.007,0.026,0.157,0.129,0.064,0.013,0.054
2013,0.265,0.364,0.329,"Army West Point",0.148,0.09,0.064,0.693,1,0,0,0,0.096,0.058,4.03,0.14,0.07,2.007,4.09,0.275,0.355,0.361,0.716,0.39,0.346,0.036,0.004,0.12,0.015,0.028,0.016,0.146,0.122,0.053,0.009,0.039
2015,0.28,0.357,0.375,"Maine",0.142,0.096,0.095,0.732,0,0,0,0,0.115,0.046,4.84,0.169,0.083,2.035,3.94,0.3,0.366,0.41,0.776,0.33,0.355,0.06,0.01,0.116,0.015,0.011,0.022,0.131,0.142,0.07,0.008,0.055
2018,0.272,0.352,0.379,"Dartmouth",0.173,0.097,0.107,0.731,0,0,0,0,0.115,0.076,5.93,0.158,0.067,2.364,4.25,0.308,0.371,0.456,0.827,0.332,0.369,0.058,0.016,0.122,0.012,0.009,0.025,0.142,0.163,0.075,0.022,0.044
2016,0.281,0.356,0.406,"Furman",0.168,0.083,0.125,0.762,0,0,0,0,0.121,0.085,5.86,0.16,0.118,1.348,4.48,0.282,0.385,0.434,0.819,0.33,0.368,0.062,0.021,0.128,0.009,0.018,0.02,0.147,0.159,0.075,0.022,0.052
2019,0.284,0.358,0.429,"Marshall",0.216,0.087,0.145,0.787,0,0,0,0,0.133,0.129,5.13,0.19,0.151,1.26,4.51,0.25,0.386,0.394,0.78,0.324,0.327,0.077,0.02,0.133,0.008,0.009,0.013,0.148,0.147,0.069,0.02,0.055
2017,0.267,0.355,0.456,"UNCW",0.209,0.102,0.189,0.811,0,0,0,0,0.135,0.107,4.88,0.202,0.108,1.869,4.28,0.255,0.351,0.39,0.741,0.289,0.36,0.085,0.037,0.135,0.007,0.01,0.022,0.152,0.14,0.066,0.023,0.064
2015,0.272,0.356,0.372,"Quinnipiac",0.153,0.094,0.1,0.728,0,0,0,0,0.111,0.059,4.85,0.15,0.1,1.493,4.2,0.263,0.358,0.387,0.745,0.356,0.369,0.056,0.012,0.117,0.007,0.026,0.018,0.134,0.14,0.075,0.011,0.044
2017,0.282,0.35,0.418,"Penn",0.156,0.074,0.136,0.768,0,0,0,0,0.125,0.082,4.19,0.211,0.085,2.482,4.01,0.268,0.346,0.379,0.725,0.326,0.306,0.076,0.02,0.121,0.009,0.008,0.018,0.129,0.128,0.062,0.016,0.074
2016,0.244,0.319,0.333,"UMES",0.204,0.077,0.089,0.652,0,0,0,0,0.093,0.127,7.56,0.114,0.12,0.952,4.67,0.313,0.413,0.483,0.896,0.343,0.404,0.058,0.009,0.105,0.005,0.017,0.015,0.123,0.2,0.087,0.021,0.035
2015,0.248,0.345,0.333,"Seton Hall",0.178,0.103,0.085,0.678,0,0,0,0,0.097,0.075,3.97,0.151,0.076,1.993,4.02,0.263,0.338,0.353,0.691,0.37,0.362,0.051,0.007,0.119,0.011,0.013,0.019,0.134,0.118,0.053,0.008,0.051
2015,0.279,0.381,0.405,"Oklahoma St.",0.193,0.116,0.126,0.786,1,0,0,0,0.126,0.077,2.84,0.204,0.083,2.457,3.88,0.235,0.307,0.309,0.616,0.395,0.269,0.062,0.017,0.139,0.011,0.033,0.012,0.156,0.09,0.04,0.011,0.062
2017,0.245,0.347,0.368,"Pittsburgh",0.195,0.108,0.123,0.715,0,0,0,0,0.103,0.087,4.38,0.205,0.083,2.474,4.14,0.269,0.345,0.411,0.756,0.351,0.302,0.067,0.015,0.116,0.008,0.02,0.016,0.13,0.133,0.072,0.023,0.05
2015,0.287,0.375,0.4,"Old Dominion",0.137,0.102,0.113,0.775,0,0,0,0,0.125,0.035,4.3,0.156,0.088,1.776,4.11,0.278,0.351,0.393,0.744,0.356,0.36,0.067,0.012,0.123,0.011,0.016,0.023,0.137,0.127,0.068,0.014,0.044
2017,0.27,0.354,0.377,"Long Beach St.",0.171,0.08,0.107,0.731,1,0,0,0,0.107,0.091,3.07,0.191,0.065,2.922,4.03,0.232,0.296,0.351,0.647,0.367,0.326,0.058,0.012,0.112,0.009,0.027,0.017,0.126,0.094,0.06,0.02,0.058
2016,0.266,0.367,0.341,"Canisius",0.203,0.108,0.075,0.708,0,0,0,0,0.1,0.095,3.94,0.194,0.095,2.034,4.01,0.248,0.336,0.355,0.691,0.31,0.361,0.048,0.005,0.123,0.009,0.026,0.014,0.139,0.122,0.06,0.011,0.055
2017,0.29,0.368,0.379,"Fairfield",0.136,0.092,0.089,0.747,0,0,0,0,0.118,0.044,3.8,0.18,0.071,2.531,4,0.269,0.333,0.393,0.726,0.339,0.334,0.048,0.012,0.131,0.008,0.02,0.023,0.147,0.122,0.073,0.015,0.055
2017,0.275,0.354,0.446,"NC State",0.186,0.094,0.171,0.8,1,0,0,0,0.134,0.092,4.13,0.2,0.113,1.765,4.23,0.253,0.352,0.386,0.738,0.336,0.306,0.09,0.027,0.135,0.008,0.012,0.018,0.153,0.121,0.067,0.02,0.063
2019,0.287,0.361,0.414,"UNC Greensboro",0.17,0.09,0.127,0.775,0,0,0,0,0.129,0.08,4.98,0.218,0.121,1.806,4.15,0.261,0.364,0.388,0.752,0.328,0.291,0.068,0.017,0.127,0.012,0.017,0.016,0.146,0.136,0.069,0.016,0.081
2017,0.222,0.332,0.336,"UNC Asheville",0.239,0.12,0.114,0.668,0,0,0,0,0.092,0.119,6.05,0.155,0.107,1.448,4.5,0.305,0.398,0.453,0.851,0.32,0.373,0.06,0.016,0.105,0.008,0.008,0.018,0.117,0.168,0.071,0.024,0.045
2015,0.267,0.36,0.356,"UTRGV",0.164,0.102,0.089,0.716,0,0,0,0,0.105,0.062,5.41,0.14,0.106,1.32,4.27,0.285,0.374,0.399,0.773,0.356,0.364,0.052,0.009,0.122,0.006,0.018,0.022,0.141,0.154,0.066,0.013,0.051
2018,0.268,0.361,0.388,"Southern Ill.",0.203,0.111,0.12,0.749,0,0,0,0,0.122,0.092,4.94,0.171,0.097,1.759,4.35,0.265,0.347,0.415,0.762,0.345,0.353,0.06,0.018,0.127,0.013,0.008,0.021,0.143,0.147,0.074,0.026,0.042
2018,0.27,0.363,0.378,"Virginia",0.141,0.1,0.108,0.741,0,0,0,0,0.111,0.041,4.15,0.266,0.096,2.776,4,0.244,0.337,0.369,0.706,0.282,0.281,0.062,0.012,0.122,0.014,0.02,0.019,0.137,0.121,0.062,0.021,0.069
2014,0.266,0.368,0.354,"Arkansas St.",0.16,0.105,0.088,0.722,0,0,0,0,0.105,0.055,4.31,0.179,0.094,1.905,4.03,0.26,0.346,0.351,0.697,0.302,0.386,0.057,0.005,0.124,0.011,0.018,0.018,0.144,0.122,0.053,0.01,0.064
2018,0.273,0.378,0.428,"Davidson",0.219,0.114,0.155,0.806,0,0,0,0,0.131,0.105,3.91,0.171,0.085,2.006,4.09,0.264,0.339,0.369,0.708,0.314,0.382,0.07,0.027,0.14,0.011,0.008,0.014,0.152,0.125,0.059,0.015,0.049
